u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,1,0,AT Rd,primary,0,1500,35.0,154.29,2800.0,2380,3600.0,0.778,162.75,heavy,8.460000000000008,0.9479921000658327,5,0.0714,0.2857,0.0385,0.8739,0.8667,0.5,0.3778,0.0,26.1769,91.7464,26.1845,91.7519,Guwahati Jn.,Fancy Bazaar
1,0,0,AT Rd,primary,0,1500,35.0,154.29,2800.0,2380,3600.0,0.778,162.75,heavy,8.460000000000008,0.9479921000658327,5,0.0714,0.2857,0.0385,0.8739,0.8667,0.5,0.3778,0.0,26.1845,91.7519,26.1769,91.7464,Fancy Bazaar,Guwahati Jn.
0,10,0,NH-27 W,motorway,1,5000,60.0,276.92,2500.0,2125,5400.0,0.463,278.83,moderate,1.9099999999999682,1.0,7,0.5714,1.0,0.497,0.6723,0.6667,1.0,0.057,0.3531,26.1769,91.7464,26.175,91.725,Guwahati Jn.,Adabari
1,3,0,Mahatma Gandhi Rd,secondary,0,1000,25.0,144.0,2500.0,2125,1800.0,1.389,224.38,gridlock,80.38,0.6417684285586951,4,0.0,0.0,0.0,0.6723,0.6667,0.0,1.0,0.1875,26.1845,91.7519,26.187,91.7502,Fancy Bazaar,Paltan Bazaar
3,1,0,Mahatma Gandhi Rd,secondary,0,1000,25.0,144.0,2500.0,2125,1800.0,1.389,224.38,gridlock,80.38,0.6417684285586951,4,0.0,0.0,0.0,0.6723,0.6667,0.0,1.0,0.1875,26.187,91.7502,26.1845,91.7519,Paltan Bazaar,Fancy Bazaar
2,6,0,NH-27 E,motorway,1,5000,60.0,276.92,2200.0,1870,5400.0,0.407,278.07,moderate,1.1499999999999773,1.0,7,0.5714,1.0,0.497,0.4706,0.4667,1.0,0.0,0.3508,26.1356,91.7986,26.122,91.792,Dispur,Khanapara
2,7,0,Beltola Rd,secondary,0,3000,40.0,270.0,1800.0,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.2857,0.4286,0.4712,0.2017,0.2,0.0,0.6039,0.4495,26.1356,91.7986,26.135,91.77,Dispur,Beltola
7,2,0,Beltola Rd,secondary,0,3000,40.0,270.0,1800.0,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.2857,0.4286,0.4712,0.2017,0.2,0.0,0.6039,0.4495,26.135,91.77,26.1356,91.7986,Beltola,Dispur
3,4,0,Narengi Rd,secondary,0,5000,45.0,400.0,2000.0,1700,1800.0,1.111,491.45,gridlock,91.44999999999999,0.8139179977617256,4,0.5714,0.5714,0.9573,0.3361,0.3333,0.0,0.7169,1.0,26.187,91.7502,26.17,91.8,Paltan Bazaar,Narengi
4,3,0,Narengi Rd,secondary,0,5000,45.0,400.0,2000.0,1700,1800.0,1.111,491.45,gridlock,91.44999999999999,0.8139179977617256,4,0.5714,0.5714,0.9573,0.3361,0.3333,0.0,0.7169,1.0,26.17,91.8,26.187,91.7502,Narengi,Paltan Bazaar
4,8,0,Sixmile Rd,secondary,0,3000,40.0,270.0,1800.0,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.2857,0.4286,0.4712,0.2017,0.2,0.0,0.6039,0.4495,26.17,91.8,26.158,91.787,Narengi,Sixmile
8,4,0,Sixmile Rd,secondary,0,3000,40.0,270.0,1800.0,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.2857,0.4286,0.4712,0.2017,0.2,0.0,0.6039,0.4495,26.158,91.787,26.17,91.8,Sixmile,Narengi
5,10,0,Jalukbari Rd,secondary,0,4000,40.0,360.0,1600.0,1360,1800.0,0.889,393.71,heavy,33.70999999999998,0.9143786035406771,4,0.4286,0.4286,0.8077,0.0672,0.0667,0.0,0.4908,0.7026,26.15,91.69,26.175,91.725,Jalukbari,Adabari
10,5,0,Jalukbari Rd,secondary,0,4000,40.0,360.0,1600.0,1360,1800.0,0.889,393.71,heavy,33.70999999999998,0.9143786035406771,4,0.4286,0.4286,0.8077,0.0672,0.0667,0.0,0.4908,0.7026,26.175,91.725,26.15,91.69,Adabari,Jalukbari
6,7,0,Khanapara-Beltola,secondary,0,2500,35.0,257.14,1600.0,1360,1800.0,0.889,281.22,heavy,24.08000000000004,0.9143832484988875,4,0.2143,0.2857,0.4231,0.0672,0.0667,0.0,0.4908,0.3604,26.122,91.792,26.135,91.77,Khanapara,Beltola
7,6,0,Khanapara-Beltola,secondary,0,2500,35.0,257.14,1600.0,1360,1800.0,0.889,281.22,heavy,24.08000000000004,0.9143832484988875,4,0.2143,0.2857,0.4231,0.0672,0.0667,0.0,0.4908,0.3604,26.135,91.77,26.122,91.792,Beltola,Khanapara
7,8,0,Sixmile-Beltola,secondary,0,2500,35.0,257.14,1500.0,1275,1800.0,0.833,275.74,heavy,18.600000000000023,0.9325555129573408,4,0.2143,0.2857,0.4231,0.0,0.0,0.0,0.4338,0.3437,26.135,91.77,26.158,91.787,Beltola,Sixmile
8,7,0,Sixmile-Beltola,secondary,0,2500,35.0,257.14,1500.0,1275,1800.0,0.833,275.74,heavy,18.600000000000023,0.9325555129573408,4,0.2143,0.2857,0.4231,0.0,0.0,0.0,0.4338,0.3437,26.158,91.787,26.135,91.77,Sixmile,Beltola
8,2,0,Dispur Rd,secondary,0,3000,40.0,270.0,1800.0,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.2857,0.4286,0.4712,0.2017,0.2,0.0,0.6039,0.4495,26.158,91.787,26.1356,91.7986,Sixmile,Dispur
2,8,0,Dispur Rd,secondary,0,3000,40.0,270.0,1800.0,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.2857,0.4286,0.4712,0.2017,0.2,0.0,0.6039,0.4495,26.1356,91.7986,26.158,91.787,Dispur,Sixmile
