u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,1,0,Station Rd Patna,primary,0,1500,30.0,180.0,2800,2380,3600.0,0.778,189.88,heavy,9.879999999999995,0.947967137139246,5,0.0,0.0,0.0,0.8571,0.8571,0.5,0.415,0.0,25.6097,85.1376,25.6078,85.1398,Patna Jn. Station,Gandhi Maidan
1,0,0,Station Rd Patna,primary,0,1500,30.0,180.0,2800,2380,3600.0,0.778,189.88,heavy,9.879999999999995,0.947967137139246,5,0.0,0.0,0.0,0.8571,0.8571,0.5,0.415,0.0,25.6078,85.1398,25.6097,85.1376,Gandhi Maidan,Patna Jn. Station
0,8,0,NH-30,motorway,1,5000,65.0,276.92,2500,2125,5400.0,0.463,278.83,moderate,1.9099999999999682,0.9931609831190221,7,0.5385,1.0,0.282,0.6429,0.6429,1.0,0.0,0.1917,25.6097,85.1376,25.5997,85.1834,Patna Jn. Station,Patna Sahib
1,2,0,Exhibition Rd,secondary,0,2500,35.0,257.14,2200,1870,1800.0,1.222,343.22,gridlock,86.08000000000004,0.749207089163968,4,0.1538,0.1429,0.2245,0.4286,0.4286,0.0,1.0,0.3304,25.6078,85.1398,25.6094,85.1131,Gandhi Maidan,Boring Rd
2,1,0,Exhibition Rd,secondary,0,2500,35.0,257.14,2200,1870,1800.0,1.222,343.22,gridlock,86.08000000000004,0.749207089163968,4,0.1538,0.1429,0.2245,0.4286,0.4286,0.0,1.0,0.3304,25.6094,85.1131,25.6078,85.1398,Boring Rd,Gandhi Maidan
2,3,0,Boring Canal Rd,secondary,0,3500,40.0,315.0,1800,1530,1800.0,1.0,362.25,gridlock,47.25,0.8695652173913044,4,0.3077,0.2857,0.3929,0.1429,0.1429,0.0,0.7075,0.3714,25.6094,85.1131,25.6192,85.1018,Boring Rd,Bailey Rd
3,2,0,Boring Canal Rd,secondary,0,3500,40.0,315.0,1800,1530,1800.0,1.0,362.25,gridlock,47.25,0.8695652173913044,4,0.3077,0.2857,0.3929,0.1429,0.1429,0.0,0.7075,0.3714,25.6192,85.1018,25.6094,85.1131,Bailey Rd,Boring Rd
3,6,0,Danapur Rd,secondary,0,8000,55.0,523.64,2200,1870,1800.0,1.222,654.00625,gridlock,130.36625000000004,0.8006595711223915,4,1.0,0.7143,1.0,0.4286,0.4286,0.0,1.0,1.0,25.6192,85.1018,25.6284,85.0437,Bailey Rd,Danapur
6,3,0,Danapur Rd,secondary,0,8000,55.0,523.64,2200,1870,1800.0,1.222,654.00625,gridlock,130.36625000000004,0.8006595711223915,4,1.0,0.7143,1.0,0.4286,0.4286,0.0,1.0,1.0,25.6284,85.0437,25.6192,85.1018,Danapur,Bailey Rd
3,7,0,Bailey Rd,primary,0,4000,50.0,288.0,2500,2125,3600.0,0.694,298.05,moderate,10.050000000000011,0.9662808253648717,5,0.3846,0.5714,0.3143,0.6429,0.6429,0.5,0.3043,0.2331,25.6192,85.1018,25.6332,85.0808,Bailey Rd,Digha
7,3,0,Bailey Rd,primary,0,4000,50.0,288.0,2500,2125,3600.0,0.694,298.05,moderate,10.050000000000011,0.9662808253648717,5,0.3846,0.5714,0.3143,0.6429,0.6429,0.5,0.3043,0.2331,25.6332,85.0808,25.6192,85.1018,Digha,Bailey Rd
4,5,0,Kankarbagh Rd,secondary,0,3000,40.0,270.0,1800,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.2308,0.2857,0.2619,0.1429,0.1429,0.0,0.7075,0.2599,25.5932,85.1504,25.5948,85.1199,Kankarbagh,Rajendra Nagar
5,4,0,Kankarbagh Rd,secondary,0,3000,40.0,270.0,1800,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.2308,0.2857,0.2619,0.1429,0.1429,0.0,0.7075,0.2599,25.5948,85.1199,25.5932,85.1504,Rajendra Nagar,Kankarbagh
5,2,0,Rajendra Nagar Rd,secondary,0,2500,35.0,257.14,1600,1360,1800.0,0.889,281.22,heavy,24.08000000000004,0.9143832484988875,4,0.1538,0.1429,0.2245,0.0,0.0,0.0,0.5613,0.1968,25.5948,85.1199,25.6094,85.1131,Rajendra Nagar,Boring Rd
2,5,0,Rajendra Nagar Rd,secondary,0,2500,35.0,257.14,1600,1360,1800.0,0.889,281.22,heavy,24.08000000000004,0.9143832484988875,4,0.1538,0.1429,0.2245,0.0,0.0,0.0,0.5613,0.1968,25.6094,85.1131,25.5948,85.1199,Boring Rd,Rajendra Nagar
6,7,0,Danapur-Digha,secondary,0,5000,50.0,360.0,2000,1700,1800.0,1.111,442.3,gridlock,82.30000000000001,0.813927198733891,4,0.5385,0.5714,0.5238,0.2857,0.2857,0.0,0.8538,0.5439,25.6284,85.0437,25.6332,85.0808,Danapur,Digha
