u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,1,0,Connaught Circus,primary,0,2000,35.0,205.71,4500,3825,3600.0,1.25,281.05,gridlock,75.34,0.7319490685439805,5,0.0,0.0,0.0,0.7727,0.7727,0.5,0.5533,0.046,28.6315,77.2167,28.6431,77.219,Connaught Place,New Delhi Station
1,0,0,Connaught Circus,primary,0,2000,35.0,205.71,4500,3825,3600.0,1.25,281.05,gridlock,75.34,0.7319490685439805,5,0.0,0.0,0.0,0.7727,0.7727,0.5,0.5533,0.046,28.6431,77.219,28.6315,77.2167,New Delhi Station,Connaught Place
0,2,0,Safdarjung Rd,primary,0,5000,50.0,360.0,3800,3230,3600.0,1.056,427.04,gridlock,67.04000000000002,0.8430123641813413,5,0.3,0.2727,0.4853,0.4545,0.4545,0.5,0.375,0.2833,28.6315,77.2167,28.5672,77.21,Connaught Place,AIIMS
2,0,0,Safdarjung Rd,primary,0,5000,50.0,360.0,3800,3230,3600.0,1.056,427.04,gridlock,67.04000000000002,0.8430123641813413,5,0.3,0.2727,0.4853,0.4545,0.4545,0.5,0.375,0.2833,28.5672,77.21,28.6315,77.2167,AIIMS,Connaught Place
0,18,0,Kasturba Gandhi Marg,primary,0,2500,35.0,257.14,4200,3570,3600.0,1.167,328.6,gridlock,71.46000000000004,0.7825406486392487,5,0.05,0.0,0.1618,0.6364,0.6364,0.5,0.477,0.1233,28.6315,77.2167,28.6505,77.2303,Connaught Place,Chandni Chowk
18,0,0,Kasturba Gandhi Marg,primary,0,2500,35.0,257.14,4200,3570,3600.0,1.167,328.6,gridlock,71.46000000000004,0.7825406486392487,5,0.05,0.0,0.1618,0.6364,0.6364,0.5,0.477,0.1233,28.6505,77.2303,28.6315,77.2167,Chandni Chowk,Connaught Place
1,18,0,Qutab Rd,primary,0,2000,35.0,205.71,4000,3400,3600.0,1.111,252.75,gridlock,47.03999999999999,0.8139041966935143,5,0.0,0.0,0.0,0.5455,0.5455,0.5,0.4256,0.0,28.6431,77.219,28.6505,77.2303,New Delhi Station,Chandni Chowk
18,1,0,Qutab Rd,primary,0,2000,35.0,205.71,4000,3400,3600.0,1.111,252.75,gridlock,47.03999999999999,0.8139041966935143,5,0.0,0.0,0.0,0.5455,0.5455,0.5,0.4256,0.0,28.6505,77.2303,28.6431,77.219,Chandni Chowk,New Delhi Station
2,7,0,Outer Ring Rd S,motorway,1,6000,60.0,360.0,3500,2975,5400.0,0.648,369.53,moderate,9.529999999999973,0.9742104835872597,7,0.4,0.4545,0.4853,0.3182,0.3182,1.0,0.0,0.1898,28.5672,77.21,28.5244,77.2167,AIIMS,Saket
2,8,0,Lala Lajpat Rai Marg,secondary,0,3000,40.0,270.0,3200,2720,1800.0,1.736,674.54,gridlock,404.53999999999996,0.40027277848607945,4,0.1,0.0909,0.2022,0.1818,0.1818,0.0,1.0,0.6856,28.5672,77.21,28.5672,77.2434,AIIMS,Lajpat Nagar
8,2,0,Lala Lajpat Rai Marg,secondary,0,3000,40.0,270.0,3200,2720,1800.0,1.736,674.54,gridlock,404.53999999999996,0.40027277848607945,4,0.1,0.0909,0.2022,0.1818,0.1818,0.0,1.0,0.6856,28.5672,77.2434,28.5672,77.21,Lajpat Nagar,AIIMS
3,13,0,Rohtak Rd,primary,0,8000,60.0,480.0,3500,2975,3600.0,0.972,544.33,heavy,64.33000000000004,0.8818180148071941,5,0.6,0.4545,0.8627,0.3182,0.3182,0.5,0.2978,0.474,28.6514,77.1907,28.6644,77.1287,Karol Bagh,Punjabi Bagh
13,3,0,Rohtak Rd,primary,0,8000,60.0,480.0,3500,2975,3600.0,0.972,544.33,heavy,64.33000000000004,0.8818180148071941,5,0.6,0.4545,0.8627,0.3182,0.3182,0.5,0.2978,0.474,28.6644,77.1287,28.6514,77.1907,Punjabi Bagh,Karol Bagh
4,9,0,DND Flyway,motorway,1,8000,80.0,360.0,4500,3825,5400.0,0.833,386.04,heavy,26.04000000000002,0.9325458501709669,7,0.6,0.8182,0.4853,0.7727,0.7727,1.0,0.17,0.2167,28.5706,77.3219,28.5491,77.2518,Noida Sec 18,Nehru Place
5,14,0,NH-48 Delhi,motorway,1,12000,90.0,432.0,5000,4250,5400.0,0.926,479.63,heavy,47.629999999999995,1.0,7,1.0,1.0,0.7118,1.0,1.0,1.0,0.2555,0.3688,28.5921,77.046,28.4595,77.0266,Dwarka,Gurgaon Border
6,12,0,Rohini Rd,secondary,0,5000,50.0,360.0,3000,2550,1800.0,1.667,776.67,gridlock,416.66999999999996,0.463517323959983,4,0.3,0.2727,0.4853,0.0909,0.0909,0.0,0.9366,0.8517,28.7234,77.1115,28.7014,77.1305,Rohini,Pitampura
