u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,1,0,Relief Rd,primary,0,3000,45.0,240.0,3500,2975,3600.0,0.972,272.16,heavy,32.160000000000025,0.8818342151675486,5,0.0909,0.2,0.0625,1.0,1.0,0.5,0.3871,0.0517,23.0278,72.6052,23.03,72.576,Kalupur Station,Ashram Rd
1,0,0,Relief Rd,primary,0,3000,45.0,240.0,3500,2975,3600.0,0.972,272.16,heavy,32.160000000000025,0.8818342151675486,5,0.0909,0.2,0.0625,1.0,1.0,0.5,0.3871,0.0517,23.03,72.576,23.0278,72.6052,Ashram Rd,Kalupur Station
0,10,0,Ashram Rd N,primary,0,4000,50.0,288.0,3200,2720,3600.0,0.889,314.97,heavy,26.970000000000027,0.914372797409277,5,0.2727,0.4,0.1875,0.8235,0.8235,0.5,0.324,0.1234,23.0278,72.6052,23.0737,72.5797,Kalupur Station,Sabarmati
10,0,0,Ashram Rd N,primary,0,4000,50.0,288.0,3200,2720,3600.0,0.889,314.97,heavy,26.970000000000027,0.914372797409277,5,0.2727,0.4,0.1875,0.8235,0.8235,0.5,0.324,0.1234,23.0737,72.5797,23.0278,72.6052,Sabarmati,Kalupur Station
1,2,0,CG Rd Link,primary,0,2500,40.0,225.0,3000,2550,3600.0,0.833,241.28,heavy,16.28,0.9325265251989391,5,0.0,0.0,0.0234,0.7059,0.7059,0.5,0.2814,0.0,23.03,72.576,23.0317,72.5576,Ashram Rd,CG Rd
2,1,0,CG Rd Link,primary,0,2500,40.0,225.0,3000,2550,3600.0,0.833,241.28,heavy,16.28,0.9325265251989391,5,0.0,0.0,0.0234,0.7059,0.7059,0.5,0.2814,0.0,23.0317,72.5576,23.03,72.576,CG Rd,Ashram Rd
2,3,0,Vastrapur Rd,secondary,0,3500,40.0,315.0,2500,2125,1800.0,1.389,490.82,gridlock,175.82,0.6417831384214173,4,0.1818,0.0,0.2578,0.4118,0.4118,0.0,0.7042,0.418,23.0317,72.5576,23.0367,72.5266,CG Rd,Vastrapur
3,2,0,Vastrapur Rd,secondary,0,3500,40.0,315.0,2500,2125,1800.0,1.389,490.82,gridlock,175.82,0.6417831384214173,4,0.1818,0.0,0.2578,0.4118,0.4118,0.0,0.7042,0.418,23.0367,72.5266,23.0317,72.5576,Vastrapur,CG Rd
3,4,0,SG Hwy Link,motorway,1,6000,65.0,270.0,2800,2380,5400.0,0.519,272.93,moderate,2.930000000000007,1.0,7,0.6364,1.0,0.1406,0.5882,0.5882,1.0,0.0426,0.053,23.0367,72.5266,23.0645,72.5032,Vastrapur,SG Hwy
4,8,0,Gota-SG,motorway,1,5000,65.0,257.14,2500,2125,5400.0,0.463,258.91,moderate,1.7700000000000387,1.0,7,0.4545,1.0,0.1071,0.4118,0.4118,1.0,0.0,0.0295,23.0645,72.5032,23.106,72.525,SG Hwy,Gota
4,13,0,Thaltej Rd,secondary,0,3000,50.0,216.0,2000,1700,1800.0,1.111,265.38,gridlock,49.379999999999995,0.8139271987338911,4,0.0909,0.4,0.0,0.1176,0.1176,0.0,0.4928,0.0404,23.0645,72.5032,23.051,72.507,SG Hwy,Thaltej
13,4,0,Thaltej Rd,secondary,0,3000,50.0,216.0,2000,1700,1800.0,1.111,265.38,gridlock,49.379999999999995,0.8139271987338911,4,0.0909,0.4,0.0,0.1176,0.1176,0.0,0.4928,0.0404,23.051,72.507,23.0645,72.5032,Thaltej,SG Hwy
5,9,0,Sarkhej-Gandhinagar,motorway,1,8000,65.0,450.0,3500,2975,5400.0,0.648,461.91,moderate,11.910000000000025,0.9592278216036091,7,1.0,1.0,0.6094,1.0,1.0,1.0,0.1407,0.3696,22.99,72.5,23.02,72.509,Sarkhej,Prahlad Nagar
6,12,0,Naroda Rd,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.2727,0.2,0.2708,0.4118,0.4118,0.0,0.7042,0.431,23.086,72.632,23.11,72.597,Naroda,Chandkheda
12,6,0,Naroda Rd,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.2727,0.2,0.2708,0.4118,0.4118,0.0,0.7042,0.431,23.11,72.597,23.086,72.632,Chandkheda,Naroda
