u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,5,0,Kamrej Rd,primary,0,5000,55.0,327.27,2800,2380,3600.0,0.778,345.24,heavy,17.970000000000027,0.9479571523367144,5,0.5,0.8,0.2364,0.7778,0.7778,0.5,0.1921,0.2405,21.1982,72.8432,21.2205,72.8362,Surat Jn. Station,Katargam
5,0,0,Kamrej Rd,primary,0,5000,55.0,327.27,2800,2380,3600.0,0.778,345.24,heavy,17.970000000000027,0.9479571523367144,5,0.5,0.8,0.2364,0.7778,0.7778,0.5,0.1921,0.2405,21.2205,72.8362,21.1982,72.8432,Katargam,Surat Jn. Station
0,6,0,Varachha Rd,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.3333,0.4,0.2222,0.6111,0.6111,0.0,0.8266,0.5282,21.1982,72.8432,21.2083,72.8745,Surat Jn. Station,Varachha
6,0,0,Varachha Rd,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.3333,0.4,0.2222,0.6111,0.6111,0.0,0.8266,0.5282,21.2083,72.8745,21.1982,72.8432,Varachha,Surat Jn. Station
1,2,0,Adajan Rd,secondary,0,4000,45.0,320.0,2200,1870,1800.0,1.222,427.11,gridlock,107.11000000000001,0.749221512022664,4,0.3333,0.4,0.2222,0.4444,0.4444,0.0,0.6532,0.3941,21.1702,72.8311,21.2046,72.7951,Ring Rd Surat,Adajan
2,1,0,Adajan Rd,secondary,0,4000,45.0,320.0,2200,1870,1800.0,1.222,427.11,gridlock,107.11000000000001,0.749221512022664,4,0.3333,0.4,0.2222,0.4444,0.4444,0.0,0.6532,0.3941,21.2046,72.7951,21.1702,72.8311,Adajan,Ring Rd Surat
1,4,0,Udhna Rd,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.3333,0.4,0.2222,0.6111,0.6111,0.0,0.8266,0.5282,21.1702,72.8311,21.1578,72.8557,Ring Rd Surat,Udhna
4,1,0,Udhna Rd,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.3333,0.4,0.2222,0.6111,0.6111,0.0,0.8266,0.5282,21.1578,72.8557,21.1702,72.8311,Udhna,Ring Rd Surat
2,7,0,Athwa-Adajan,secondary,0,3000,40.0,270.0,1800,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.1667,0.2,0.125,0.2222,0.2222,0.0,0.4226,0.1753,21.2046,72.7951,21.1672,72.7991,Adajan,Athwa
7,2,0,Athwa-Adajan,secondary,0,3000,40.0,270.0,1800,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.1667,0.2,0.125,0.2222,0.2222,0.0,0.4226,0.1753,21.1672,72.7991,21.2046,72.7951,Athwa,Adajan
3,8,0,Vesu-Althan,secondary,0,2500,35.0,257.14,1500,1275,1800.0,0.833,275.74,heavy,18.600000000000023,0.9325555129573408,4,0.0833,0.0,0.1,0.0556,0.0556,0.0,0.2492,0.1102,21.14,72.786,21.151,72.784,Vesu,Althan
8,3,0,Vesu-Althan,secondary,0,2500,35.0,257.14,1500,1275,1800.0,0.833,275.74,heavy,18.600000000000023,0.9325555129573408,4,0.0833,0.0,0.1,0.0556,0.0556,0.0,0.2492,0.1102,21.151,72.784,21.14,72.786,Althan,Vesu
4,9,0,Sachin Rd,secondary,0,8000,55.0,523.64,2800,2380,1800.0,1.556,750.19,gridlock,226.55000000000007,0.6980049902509545,4,1.0,0.8,0.6182,0.7778,0.7778,0.0,1.0,1.0,21.1578,72.8557,21.09,72.88,Udhna,Sachin GIDC
