u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,8,0,Outer Ring Rd,primary,0,3200,60.0,192.0,3800,3230,3600.0,1.056,227.75,gridlock,35.75,0.8430296377607025,5,0.3478,0.7368,0.0978,0.8,0.8,0.5,0.8569,0.1698,12.9757,77.6011,12.9784,77.6408,MG Road,Indiranagar
8,0,0,Outer Ring Rd,primary,0,3200,60.0,192.0,3800,3230,3600.0,1.056,227.75,gridlock,35.75,0.8430296377607025,5,0.3478,0.7368,0.0978,0.8,0.8,0.5,0.8569,0.1698,12.9784,77.6408,12.9757,77.6011,Indiranagar,MG Road
0,7,0,Hosur Rd,primary,0,4100,50.0,295.2,3200,2720,3600.0,0.889,322.84,heavy,27.639999999999986,0.9143848345929874,5,0.5043,0.5263,0.3653,0.6286,0.6286,0.5,0.5707,0.4435,12.9757,77.6011,12.9352,77.6245,MG Road,Koramangala
7,0,0,Hosur Rd,primary,0,4100,50.0,295.2,3200,2720,3600.0,0.889,322.84,heavy,27.639999999999986,0.9143848345929874,5,0.5043,0.5263,0.3653,0.6286,0.6286,0.5,0.5707,0.4435,12.9352,77.6245,12.9757,77.6011,Koramangala,MG Road
1,6,0,NICE Rd,motorway,1,6950,72.5,320.0,4500,3825,5400.0,0.833,343.15,heavy,23.149999999999977,1.0,7,1.0,1.0,0.4296,1.0,1.0,1.0,0.4747,0.5019,12.9177,77.6237,12.8399,77.677,Silk Board Jn.,Electronic City
1,7,0,Koramangala Rd,secondary,0,2200,40.0,198.0,1800,1530,1800.0,1.0,227.7,gridlock,29.69999999999999,0.8695652173913044,4,0.1739,0.3158,0.1133,0.2286,0.2286,0.0,0.7609,0.1697,12.9177,77.6237,12.9352,77.6245,Silk Board Jn.,Koramangala
7,1,0,Koramangala Rd,secondary,0,2200,40.0,198.0,1800,1530,1800.0,1.0,227.7,gridlock,29.69999999999999,0.8695652173913044,4,0.1739,0.3158,0.1133,0.2286,0.2286,0.0,0.7609,0.1697,12.9352,77.6245,12.9177,77.6237,Koramangala,Silk Board Jn.
2,11,0,Bellary Rd,motorway,1,6500,72.5,292.5,4200,3570,5400.0,0.778,308.56,heavy,16.060000000000002,1.0,7,0.9217,1.0,0.3583,0.9143,0.9143,1.0,0.3805,0.4024,13.0358,77.597,13.0213,77.5471,Hebbal Flyover,Yeshwanthpur
2,3,0,Tumkur Rd,primary,0,6950,60.0,540.0,3500,2975,3600.0,0.972,516.25,heavy,0.0,0.8077481840193705,5,1.0,0.7368,1.0,0.7143,0.7143,0.5,0.7129,1.0,13.0358,77.597,12.9767,77.5713,Hebbal Flyover,Majestic Bus Stand
3,2,0,Tumkur Rd,primary,0,6950,60.0,540.0,3500,2975,3600.0,0.972,516.25,heavy,0.0,0.8077481840193705,5,1.0,0.7368,1.0,0.7143,0.7143,0.5,0.7129,1.0,12.9767,77.5713,13.0358,77.597,Majestic Bus Stand,Hebbal Flyover
3,4,0,City Market Rd,primary,0,2500,35.0,257.14,2800,2380,3600.0,0.778,271.26,heavy,14.120000000000005,0.9479571523367144,5,0.2261,0.2105,0.2667,0.5143,0.5143,0.5,0.3805,0.295,12.9767,77.5713,12.963,77.5757,Majestic Bus Stand,KR Market
4,3,0,City Market Rd,primary,0,2500,35.0,257.14,2800,2380,3600.0,0.778,271.26,heavy,14.120000000000005,0.9479571523367144,5,0.2261,0.2105,0.2667,0.5143,0.5143,0.5,0.3805,0.295,12.963,77.5757,12.9767,77.5713,KR Market,Majestic Bus Stand
