u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,1,0,Mangaluru Main Rd,primary,0,1500,40.0,135.0,2500,2125,3600.0,0.694,139.71,moderate,4.710000000000008,0.9662873094266695,5,0.1176,0.4286,0.0489,0.6,0.6,0.5,0.3638,0.0,12.8707,74.8428,12.8693,74.8431,Mangaluru Central Stn,Hampankatta
1,0,0,Mangaluru Main Rd,primary,0,1500,40.0,135.0,2500,2125,3600.0,0.694,139.71,moderate,4.710000000000008,0.9662873094266695,5,0.1176,0.4286,0.0489,0.6,0.6,0.5,0.3638,0.0,12.8693,74.8431,12.8707,74.8428,Hampankatta,Mangaluru Central Stn
1,2,0,Balmatta Rd,secondary,0,1200,35.0,123.43,1800,1530,1800.0,1.0,141.94,gridlock,18.50999999999999,0.8695827210692647,4,0.0471,0.2857,0.0,0.32,0.32,0.0,1.0,0.0112,12.8693,74.8431,12.8724,74.834,Hampankatta,Pandeshwar
2,1,0,Balmatta Rd,secondary,0,1200,35.0,123.43,1800,1530,1800.0,1.0,141.94,gridlock,18.50999999999999,0.8695827210692647,4,0.0471,0.2857,0.0,0.32,0.32,0.0,1.0,0.0112,12.8724,74.834,12.8693,74.8431,Pandeshwar,Hampankatta
1,13,0,Lighthouse Hill Rd,secondary,0,1800,35.0,185.14,1600,1360,1800.0,0.889,202.48,heavy,17.340000000000003,0.9143760230287294,4,0.1882,0.2857,0.2609,0.24,0.24,0.0,0.7692,0.316,12.8693,74.8431,12.875,74.844,Hampankatta,Attavar
13,1,0,Lighthouse Hill Rd,secondary,0,1800,35.0,185.14,1600,1360,1800.0,0.889,202.48,heavy,17.340000000000003,0.9143760230287294,4,0.1882,0.2857,0.2609,0.24,0.24,0.0,0.7692,0.316,12.875,74.844,12.8693,74.8431,Attavar,Hampankatta
2,9,0,Bunts Hostel Rd,tertiary,0,2000,30.0,240.0,1200,1020,1800.0,0.667,247.11,moderate,7.110000000000014,0.9712273886123588,3,0.2353,0.1429,0.4928,0.08,0.08,0.0,0.3077,0.5407,12.8724,74.834,12.8801,74.8279,Pandeshwar,Ladyhill
9,2,0,Bunts Hostel Rd,tertiary,0,2000,30.0,240.0,1200,1020,1800.0,0.667,247.11,moderate,7.110000000000014,0.9712273886123588,3,0.2353,0.1429,0.4928,0.08,0.08,0.0,0.3077,0.5407,12.8801,74.8279,12.8724,74.834,Ladyhill,Pandeshwar
3,8,0,Kankanady Rd,secondary,0,2500,40.0,225.0,1400,1190,1800.0,0.778,237.35,heavy,12.349999999999994,0.947967137139246,4,0.3529,0.4286,0.4293,0.16,0.16,0.0,0.5385,0.4915,12.8829,74.8516,12.897,74.8601,Kankanady,Bondel
8,3,0,Kankanady Rd,secondary,0,2500,40.0,225.0,1400,1190,1800.0,0.778,237.35,heavy,12.349999999999994,0.947967137139246,4,0.3529,0.4286,0.4293,0.16,0.16,0.0,0.5385,0.4915,12.897,74.8601,12.8829,74.8516,Bondel,Kankanady
4,12,0,Kodialbail Rd,secondary,0,2200,35.0,226.29,1300,1105,1800.0,0.722,235.52,heavy,9.230000000000018,0.9607919254658386,4,0.2824,0.2857,0.4348,0.12,0.12,0.0,0.422,0.4823,12.8621,74.8472,12.864,74.838,Kulshekhar,Bejai
12,4,0,Kodialbail Rd,secondary,0,2200,35.0,226.29,1300,1105,1800.0,0.722,235.52,heavy,9.230000000000018,0.9607919254658386,4,0.2824,0.2857,0.4348,0.12,0.12,0.0,0.422,0.4823,12.864,74.838,12.8621,74.8472,Bejai,Kulshekhar
5,6,0,NH-66 North,motorway,1,5250,60.0,360.0,3500,2975,5400.0,0.648,338.355,moderate,0.0,0.9309748636786807,7,1.0,1.0,1.0,1.0,1.0,1.0,0.2682,1.0,13.015,74.794,12.9613,74.8896,Surathkal,Bajpe Airport
5,10,0,Surathkal Rd,motorway,1,5250,60.0,308.57,3200,2720,5400.0,0.593,314.28,moderate,5.7099999999999795,1.0,7,1.0,1.0,0.7826,0.88,0.88,1.0,0.1538,0.8788,13.015,74.794,12.9,74.856,Surathkal,NH-66 Mangaluru
6,7,0,Airport Rd,primary,0,5000,60.0,300.0,2200,1870,3600.0,0.611,306.28,moderate,6.279999999999973,0.9794958861172784,5,0.9412,1.0,0.7464,0.48,0.48,0.5,0.1913,0.8385,12.9613,74.8896,12.9281,74.8481,Bajpe Airport,Bikarnakatte
7,6,0,Airport Rd,primary,0,5000,60.0,300.0,2200,1870,3600.0,0.611,306.28,moderate,6.279999999999973,0.9794958861172784,5,0.9412,1.0,0.7464,0.48,0.48,0.5,0.1913,0.8385,12.9281,74.8481,12.9613,74.8896,Bikarnakatte,Bajpe Airport
7,8,0,Pumpwell Rd,secondary,0,3000,45.0,240.0,1800,1530,1800.0,1.0,276.0,gridlock,36.0,0.8695652173913043,4,0.4706,0.5714,0.4928,0.32,0.32,0.0,1.0,0.6861,12.9281,74.8481,12.897,74.8601,Bikarnakatte,Bondel
8,7,0,Pumpwell Rd,secondary,0,3000,45.0,240.0,1800,1530,1800.0,1.0,276.0,gridlock,36.0,0.8695652173913043,4,0.4706,0.5714,0.4928,0.32,0.32,0.0,1.0,0.6861,12.897,74.8601,12.9281,74.8481,Bondel,Bikarnakatte
8,10,0,Derebail Rd,primary,0,2500,50.0,180.0,2500,2125,3600.0,0.694,186.28,moderate,6.280000000000001,0.9662873094266696,5,0.3529,0.7143,0.2391,0.6,0.6,0.5,0.3638,0.2344,12.897,74.8601,12.9,74.856,Bondel,NH-66 Mangaluru
