u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,1,0,Sayyaji Rao Rd,primary,0,2200,40.0,198.0,2550,2380,3600.0,0.778,208.87,heavy,10.870000000000005,0.9479580600373438,5,0.1733,0.4286,0.1607,1.0,1.0,1.0,0.5656,0.16,12.3052,76.6551,12.2958,76.6394,Mysuru Palace,Mysuru Bus Stand
1,0,0,Sayyaji Rao Rd,primary,0,2200,40.0,198.0,2550,2380,3600.0,0.778,208.87,heavy,10.870000000000005,0.9479580600373438,5,0.1733,0.4286,0.1607,1.0,1.0,1.0,0.5656,0.16,12.2958,76.6394,12.3052,76.6551,Mysuru Bus Stand,Mysuru Palace
0,8,0,Palace Rd,secondary,0,1500,35.0,154.29,1600,1360,1800.0,0.889,168.73,heavy,14.439999999999998,0.9143940869182381,4,0.0722,0.2857,0.0306,0.3871,0.3333,0.0,0.8484,0.054,12.3052,76.6551,12.3041,76.6466,Mysuru Palace,Lashkar Mohalla
8,0,0,Palace Rd,secondary,0,1500,35.0,154.29,1600,1360,1800.0,0.889,168.73,heavy,14.439999999999998,0.9143940869182381,4,0.0722,0.2857,0.0306,0.3871,0.3333,0.0,0.8484,0.054,12.3041,76.6466,12.3052,76.6551,Lashkar Mohalla,Mysuru Palace
1,5,0,JLB Rd,tertiary,0,1200,30.0,144.0,1400,1190,1800.0,0.778,151.9,heavy,7.900000000000006,0.9479921000658327,3,0.0289,0.1429,0.0,0.2581,0.2222,0.0,0.5656,0.0096,12.2958,76.6394,12.3,76.63,Mysuru Bus Stand,JLB Rd
5,1,0,JLB Rd,tertiary,0,1200,30.0,144.0,1400,1190,1800.0,0.778,151.9,heavy,7.900000000000006,0.9479921000658327,3,0.0289,0.1429,0.0,0.2581,0.2222,0.0,0.5656,0.0096,12.3,76.63,12.2958,76.6394,JLB Rd,Mysuru Bus Stand
1,10,0,Nazarbad Rd,secondary,0,2500,35.0,257.14,1500,1275,1800.0,0.833,275.74,heavy,18.600000000000023,0.9325555129573408,4,0.2166,0.2857,0.3367,0.3226,0.2778,0.0,0.7057,0.3367,12.2958,76.6394,12.28,76.62,Mysuru Bus Stand,Bogadi Rd
10,1,0,Nazarbad Rd,secondary,0,2500,35.0,257.14,1500,1275,1800.0,0.833,275.74,heavy,18.600000000000023,0.9325555129573408,4,0.2166,0.2857,0.3367,0.3226,0.2778,0.0,0.7057,0.3367,12.28,76.62,12.2958,76.6394,Bogadi Rd,Mysuru Bus Stand
2,11,0,Chamundi Hill Rd,secondary,0,4000,40.0,360.0,1200,1020,1800.0,0.667,370.67,moderate,10.670000000000016,0.9712142876412981,4,0.4332,0.4286,0.6429,0.129,0.1111,0.0,0.2828,0.5874,12.2724,76.6681,12.29,76.66,Chamundi Hill Rd,Ring Rd Mysuru
11,2,0,Chamundi Hill Rd,secondary,0,4000,40.0,360.0,1200,1020,1800.0,0.667,370.67,moderate,10.670000000000016,0.9712142876412981,4,0.4332,0.4286,0.6429,0.129,0.1111,0.0,0.2828,0.5874,12.29,76.66,12.2724,76.6681,Ring Rd Mysuru,Chamundi Hill Rd
3,4,0,Vijayanagar Rd,secondary,0,3500,40.0,315.0,1400,1190,1800.0,0.778,332.29,heavy,17.29000000000002,0.9479671371392457,4,0.361,0.4286,0.5089,0.2581,0.2222,0.0,0.5656,0.486,12.3108,76.6072,12.3367,76.6147,Vijayanagar Extn,Hebbal Mysuru
4,3,0,Vijayanagar Rd,secondary,0,3500,40.0,315.0,1400,1190,1800.0,0.778,332.29,heavy,17.29000000000002,0.9479671371392457,4,0.361,0.4286,0.5089,0.2581,0.2222,0.0,0.5656,0.486,12.3367,76.6147,12.3108,76.6072,Hebbal Mysuru,Vijayanagar Extn
4,14,0,KRS Rd,secondary,0,6000,50.0,432.0,1800,1530,1800.0,0.9485,496.8,heavy,64.80000000000001,0.8695652173913043,4,0.722,0.7143,0.8571,0.5161,0.4444,0.0,1.0,0.9205,12.3367,76.6147,12.35,76.59,Hebbal Mysuru,KRS Rd
14,4,0,KRS Rd,secondary,0,6000,50.0,432.0,1800,1530,1800.0,0.9485,496.8,heavy,64.80000000000001,0.8695652173913043,4,0.722,0.7143,0.8571,0.5161,0.4444,0.0,1.0,0.9205,12.35,76.59,12.3367,76.6147,KRS Rd,Hebbal Mysuru
5,7,0,Saraswathipuram Rd,residential,0,1800,25.0,259.2,1000,850,1800.0,0.556,262.9,moderate,3.6999999999999886,0.98592620768353,2,0.1155,0.0,0.3429,0.0,0.0,0.0,0.0,0.3027,12.3,76.63,12.3111,76.6299,JLB Rd,Saraswathipuram
7,5,0,Saraswathipuram Rd,residential,0,1800,25.0,259.2,1000,850,1800.0,0.556,262.9,moderate,3.6999999999999886,0.98592620768353,2,0.1155,0.0,0.3429,0.0,0.0,0.0,0.0,0.3027,12.3111,76.6299,12.3,76.63,Saraswathipuram,JLB Rd
6,9,0,Yadavagiri Rd,secondary,0,2000,35.0,205.71,1200,1020,1800.0,0.667,211.81,moderate,6.099999999999994,0.9712208380826481,4,0.1444,0.2857,0.1837,0.129,0.1111,0.0,0.2828,0.1678,12.3155,76.6441,12.3215,76.6562,Kuvempu Nagar,Yadavagiri
9,6,0,Yadavagiri Rd,secondary,0,2000,35.0,205.71,1200,1020,1800.0,0.667,211.81,moderate,6.099999999999994,0.9712208380826481,4,0.1444,0.2857,0.1837,0.129,0.1111,0.0,0.2828,0.1678,12.3215,76.6562,12.3155,76.6441,Yadavagiri,Kuvempu Nagar
7,3,0,Krishnamurthypuram Rd,secondary,0,3000,35.0,308.57,1300,1105,1800.0,0.722,321.16,heavy,12.590000000000032,0.9608028041207763,4,0.2888,0.2857,0.4898,0.1935,0.1667,0.0,0.4229,0.4566,12.3111,76.6299,12.3108,76.6072,Saraswathipuram,Vijayanagar Extn
3,7,0,Krishnamurthypuram Rd,secondary,0,3000,35.0,308.57,1300,1105,1800.0,0.722,321.16,heavy,12.590000000000032,0.9608028041207763,4,0.2888,0.2857,0.4898,0.1935,0.1667,0.0,0.4229,0.4566,12.3108,76.6072,12.3111,76.6299,Vijayanagar Extn,Saraswathipuram
8,0,0,Irwin Rd,tertiary,0,1000,25.0,144.0,1200,1020,1800.0,0.667,148.27,moderate,4.27000000000001,0.971201187023673,3,0.0,0.0,0.0,0.129,0.1111,0.0,0.2828,0.0,12.3041,76.6466,12.3052,76.6551,Lashkar Mohalla,Mysuru Palace
0,8,0,Irwin Rd,tertiary,0,1000,25.0,144.0,1200,1020,1800.0,0.667,148.27,moderate,4.27000000000001,0.971201187023673,3,0.0,0.0,0.0,0.129,0.1111,0.0,0.2828,0.0,12.3052,76.6551,12.3041,76.6466,Mysuru Palace,Lashkar Mohalla
9,13,0,Ring Rd,primary,0,4000,50.0,288.0,2500,2125,3600.0,0.694,298.05,moderate,10.050000000000011,0.9662808253648717,5,0.4332,0.7143,0.4286,0.9677,0.8333,1.0,0.3516,0.3956,12.3215,76.6562,12.33,76.67,Yadavagiri,Outer Ring Mysuru
