u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,1,0,Udupi-Manipal Rd,primary,0,2800,40.0,252.0,1200,1020,3600.0,0.333,252.47,free,0.46999999999999886,0.9981383926803185,5,0.5588,0.3529,0.6602,0.5063,0.3571,0.5,0.4989,0.6608,13.3409,74.7421,13.3537,74.7957,Udupi Bus Stand,KMC Hospital Jn.
1,0,0,Udupi-Manipal Rd,primary,0,2800,40.0,252.0,1200,1020,3600.0,0.333,252.47,free,0.46999999999999886,0.9981383926803185,5,0.5588,0.3529,0.6602,0.5063,0.3571,0.5,0.4989,0.6608,13.3537,74.7957,13.3409,74.7421,KMC Hospital Jn.,Udupi Bus Stand
0,8,0,Temple Lane,residential,0,900,25.0,129.6,600,510,1800.0,0.333,129.84,free,0.2400000000000091,0.9981515711645101,2,0.0,0.0,0.0,0.2025,0.1429,0.0,0.4989,0.0,13.3409,74.7421,13.3349,74.7461,Udupi Bus Stand,Adi Udupi Temple
8,0,0,Temple Lane,residential,0,900,25.0,129.6,600,510,1800.0,0.333,129.84,free,0.2400000000000091,0.9981515711645101,2,0.0,0.0,0.0,0.2025,0.1429,0.0,0.4989,0.0,13.3349,74.7461,13.3409,74.7421,Adi Udupi Temple,Udupi Bus Stand
0,5,0,SC Road,tertiary,0,1400,35.0,144.0,900,765,1800.0,0.5,145.35,moderate,1.3499999999999943,0.9907120743034057,3,0.1471,0.2353,0.0777,0.3544,0.25,0.0,0.8742,0.0836,13.3409,74.7421,13.3381,74.7536,Udupi Bus Stand,SC Road Jn.
5,0,0,SC Road,tertiary,0,1400,35.0,144.0,900,765,1800.0,0.5,145.35,moderate,1.3499999999999943,0.9907120743034057,3,0.1471,0.2353,0.0777,0.3544,0.25,0.0,0.8742,0.0836,13.3381,74.7536,13.3409,74.7421,SC Road Jn.,Udupi Bus Stand
0,4,0,Station Road,primary,0,3200,45.0,256.0,1500,1275,3600.0,0.417,257.16,moderate,1.160000000000025,0.9954891896095814,5,0.6765,0.4706,0.6818,0.6582,0.4643,0.5,0.6876,0.6861,13.3409,74.7421,13.3255,74.7467,Udupi Bus Stand,Udupi Railway Stn.
4,0,0,Station Road,primary,0,3200,45.0,256.0,1500,1275,3600.0,0.417,257.16,moderate,1.160000000000025,0.9954891896095814,5,0.6765,0.4706,0.6818,0.6582,0.4643,0.5,0.6876,0.6861,13.3255,74.7467,13.3409,74.7421,Udupi Railway Stn.,Udupi Bus Stand
1,2,0,Manipal Main Rd,primary,0,3500,40.0,315.0,1100,935,3600.0,0.306,315.41,free,0.410000000000025,0.9987001046257251,5,0.7647,0.3529,1.0,0.4557,0.3214,0.5,0.4382,1.0,13.3537,74.7957,13.351,74.7933,KMC Hospital Jn.,Manipal Town Hall
2,1,0,Manipal Main Rd,primary,0,3500,40.0,315.0,1100,935,3600.0,0.306,315.41,free,0.410000000000025,0.9987001046257251,5,0.7647,0.3529,1.0,0.4557,0.3214,0.5,0.4382,1.0,13.351,74.7933,13.3537,74.7957,Manipal Town Hall,KMC Hospital Jn.
