u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,8,0,MG Rd,primary,0,3000,45.0,240.0,2500,2125,3600.0,0.694,248.37,moderate,8.370000000000005,0.9663002778113299,5,0.3158,0.3529,0.2032,0.5714,0.5,0.5,0.2489,0.1831,9.9312,76.2673,9.9697,76.3107,MG Rd Kochi,Vyttila
8,0,0,MG Rd,primary,0,3000,45.0,240.0,2500,2125,3600.0,0.694,248.37,moderate,8.370000000000005,0.9663002778113299,5,0.3158,0.3529,0.2032,0.5714,0.5,0.5,0.2489,0.1831,9.9697,76.3107,9.9312,76.2673,Vyttila,MG Rd Kochi
0,11,0,Jos Junction Rd,secondary,0,2500,35.0,257.14,2000,1700,1800.0,1.111,315.93,gridlock,58.79000000000002,0.8139235183200618,4,0.2105,0.1176,0.2439,0.2857,0.25,0.0,0.8421,0.3325,9.9312,76.2673,9.9579,76.253,MG Rd Kochi,Mattancherry
11,0,0,Jos Junction Rd,secondary,0,2500,35.0,257.14,2000,1700,1800.0,1.111,315.93,gridlock,58.79000000000002,0.8139235183200618,4,0.2105,0.1176,0.2439,0.2857,0.25,0.0,0.8421,0.3325,9.9579,76.253,9.9312,76.2673,Mattancherry,MG Rd Kochi
1,2,0,NH-544,primary,0,3000,50.0,216.0,2800,2380,3600.0,0.778,227.86,heavy,11.860000000000014,0.9479504959185465,5,0.3158,0.4706,0.1463,0.7429,0.65,0.5,0.3684,0.1377,9.9816,76.2999,9.9984,76.2905,Ernakulam Jn.,Kaloor
2,1,0,NH-544,primary,0,3000,50.0,216.0,2800,2380,3600.0,0.778,227.86,heavy,11.860000000000014,0.9479504959185465,5,0.3158,0.4706,0.1463,0.7429,0.65,0.5,0.3684,0.1377,9.9984,76.2905,9.9816,76.2999,Kaloor,Ernakulam Jn.
1,9,0,NH-544 E,primary,0,2000,45.0,160.0,2500,2125,3600.0,0.694,165.58,moderate,5.5800000000000125,0.9663002778113299,5,0.1053,0.3529,0.0135,0.5714,0.5,0.5,0.2489,0.0,9.9816,76.2999,10.0001,76.3003,Ernakulam Jn.,Palarivattom
9,1,0,NH-544 E,primary,0,2000,45.0,160.0,2500,2125,3600.0,0.694,165.58,moderate,5.5800000000000125,0.9663002778113299,5,0.1053,0.3529,0.0135,0.5714,0.5,0.5,0.2489,0.0,10.0001,76.3003,9.9816,76.2999,Palarivattom,Ernakulam Jn.
2,9,0,Rajaji Rd,secondary,0,1500,35.0,154.29,2000,1700,1800.0,1.111,189.56,gridlock,35.27000000000001,0.8139149308172308,4,0.0,0.1176,0.0,0.2857,0.25,0.0,0.8421,0.053,9.9984,76.2905,10.0001,76.3003,Kaloor,Palarivattom
9,2,0,Rajaji Rd,secondary,0,1500,35.0,154.29,2000,1700,1800.0,1.111,189.56,gridlock,35.27000000000001,0.8139149308172308,4,0.0,0.1176,0.0,0.2857,0.25,0.0,0.8421,0.053,10.0001,76.3003,9.9984,76.2905,Palarivattom,Kaloor
3,10,0,Kakkanad Rd,secondary,0,4000,45.0,320.0,1800,1530,1800.0,1.0,368.0,gridlock,48.0,0.8695652173913043,4,0.5263,0.3529,0.3929,0.1714,0.15,0.0,0.6842,0.4477,10.0161,76.3407,10.0538,76.3107,Kakkanad,Kalamassery
10,3,0,Kakkanad Rd,secondary,0,4000,45.0,320.0,1800,1530,1800.0,1.0,368.0,gridlock,48.0,0.8695652173913043,4,0.5263,0.3529,0.3929,0.1714,0.15,0.0,0.6842,0.4477,10.0538,76.3107,10.0161,76.3407,Kalamassery,Kakkanad
4,5,0,NH-544 N,motorway,1,6250,72.5,360.0,3250,2975,5400.0,0.648,369.53,moderate,9.529999999999973,0.8398366237821203,7,1.0,1.0,0.4878,1.0,1.0,1.0,0.1835,0.451,10.0267,76.3028,10.1004,76.357,Edapally,Aluva
4,10,0,Edapally Bypass,motorway,1,4000,60.0,240.0,2800,2380,5400.0,0.519,242.6,moderate,2.5999999999999943,0.989282769991756,7,0.5263,0.7059,0.2032,0.7429,0.65,1.0,0.0,0.1703,10.0267,76.3028,10.0538,76.3107,Edapally,Kalamassery
5,14,0,Aluva-Angamaly,primary,0,6000,55.0,392.73,2800,2380,3600.0,0.778,414.29,heavy,21.560000000000002,0.947952576039182,5,0.9474,0.5882,0.5654,0.7429,0.65,0.5,0.3684,0.55,10.1004,76.357,10.1952,76.3862,Aluva,Angamaly
14,5,0,Aluva-Angamaly,primary,0,6000,55.0,392.73,2800,2380,3600.0,0.778,414.29,heavy,21.560000000000002,0.947952576039182,5,0.9474,0.5882,0.5654,0.7429,0.65,0.5,0.3684,0.55,10.1952,76.3862,10.1004,76.357,Angamaly,Aluva
6,8,0,Vyttila-Thripunithura,secondary,0,3000,40.0,270.0,1800,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.3158,0.2353,0.2744,0.1714,0.15,0.0,0.6842,0.3205,9.9454,76.3442,9.9697,76.3107,Thrippunithura,Vyttila
8,6,0,Vyttila-Thripunithura,secondary,0,3000,40.0,270.0,1800,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.3158,0.2353,0.2744,0.1714,0.15,0.0,0.6842,0.3205,9.9697,76.3107,9.9454,76.3442,Vyttila,Thrippunithura
7,11,0,Fort Kochi Rd,secondary,0,3000,30.0,360.0,1500,1275,1800.0,0.833,386.04,heavy,26.04000000000002,0.9325458501709666,4,0.3158,0.0,0.4878,0.0,0.0,0.0,0.4467,0.4876,9.9658,76.2421,9.9579,76.253,Fort Kochi,Mattancherry
11,7,0,Fort Kochi Rd,secondary,0,3000,30.0,360.0,1500,1275,1800.0,0.833,386.04,heavy,26.04000000000002,0.9325458501709666,4,0.3158,0.0,0.4878,0.0,0.0,0.0,0.4467,0.4876,9.9579,76.253,9.9658,76.2421,Mattancherry,Fort Kochi
8,6,0,Vyttila Hub Rd,primary,0,2500,45.0,200.0,2500,2125,3600.0,0.694,206.98,moderate,6.97999999999999,0.9662769349695622,5,0.2105,0.3529,0.1084,0.5714,0.5,0.5,0.2489,0.0916,9.9697,76.3107,9.9454,76.3442,Vyttila,Thrippunithura
