u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,7,0,Berasia Rd,primary,0,6000,55.0,392.73,2500,2125,3600.0,0.694,406.43,moderate,13.699999999999989,0.9662851480630681,5,0.6923,0.8333,0.619,0.75,0.75,1.0,0.1358,0.5396,23.2656,77.4072,23.276,77.332,Bhopal Jn. Station,Bairagarh
7,0,0,Berasia Rd,primary,0,6000,55.0,392.73,2500,2125,3600.0,0.694,406.43,moderate,13.699999999999989,0.9662851480630681,5,0.6923,0.8333,0.619,0.75,0.75,1.0,0.1358,0.5396,23.276,77.332,23.2656,77.4072,Bairagarh,Bhopal Jn. Station
0,9,0,Habibganj Rd,primary,0,3000,45.0,240.0,2800,2380,3600.0,0.778,253.17,heavy,13.169999999999987,0.9479796184382036,5,0.2308,0.5,0.1746,1.0,1.0,1.0,0.2733,0.1249,23.2656,77.4072,23.2362,77.4351,Bhopal Jn. Station,Habibganj Stn
9,0,0,Habibganj Rd,primary,0,3000,45.0,240.0,2800,2380,3600.0,0.778,253.17,heavy,13.169999999999987,0.9479796184382036,5,0.2308,0.5,0.1746,1.0,1.0,1.0,0.2733,0.1249,23.2362,77.4351,23.2656,77.4072,Habibganj Stn,Bhopal Jn. Station
1,2,0,MP Nagar Rd,secondary,0,2000,35.0,205.71,2000,1700,1800.0,1.111,252.75,gridlock,47.03999999999999,0.8139041966935143,4,0.0769,0.1667,0.0748,0.3333,0.3333,0.0,0.8183,0.1238,23.2349,77.4277,23.2286,77.435,New Market,MP Nagar
2,1,0,MP Nagar Rd,secondary,0,2000,35.0,205.71,2000,1700,1800.0,1.111,252.75,gridlock,47.03999999999999,0.8139041966935143,4,0.0769,0.1667,0.0748,0.3333,0.3333,0.0,0.8183,0.1238,23.2286,77.435,23.2349,77.4277,MP Nagar,New Market
1,3,0,Arera Colony Rd,secondary,0,3000,40.0,270.0,1800,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.2308,0.3333,0.2619,0.1667,0.1667,0.0,0.6367,0.28,23.2349,77.4277,23.21,77.44,New Market,Arera Colony
3,1,0,Arera Colony Rd,secondary,0,3000,40.0,270.0,1800,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.2308,0.3333,0.2619,0.1667,0.1667,0.0,0.6367,0.28,23.21,77.44,23.2349,77.4277,Arera Colony,New Market
2,9,0,Hoshangabad Rd,primary,0,3000,45.0,240.0,2500,2125,3600.0,0.694,248.37,moderate,8.370000000000005,0.9663002778113299,5,0.2308,0.5,0.1746,0.75,0.75,1.0,0.1358,0.1119,23.2286,77.435,23.2362,77.4351,MP Nagar,Habibganj Stn
9,2,0,Hoshangabad Rd,primary,0,3000,45.0,240.0,2500,2125,3600.0,0.694,248.37,moderate,8.370000000000005,0.9663002778113299,5,0.2308,0.5,0.1746,0.75,0.75,1.0,0.1358,0.1119,23.2362,77.4351,23.2286,77.435,Habibganj Stn,MP Nagar
