u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,7,0,Eastern Freeway,motorway,1,5000,65.0,225.0,4500,3825,5400.0,0.833,241.28,heavy,16.28,1.0,7,0.7059,1.0,0.25,0.697,0.697,1.0,0.104,0.0333,18.9398,72.8354,18.9948,72.8262,CST Station,Lower Parel
0,17,0,Marine Dr,primary,0,3000,40.0,270.0,2800,2380,3600.0,0.778,284.82,heavy,14.819999999999993,0.947967137139246,5,0.2353,0.2857,0.5,0.1818,0.1818,0.5,0.0597,0.1213,18.9398,72.8354,18.9067,72.8147,CST Station,Colaba
17,0,0,Marine Dr,primary,0,3000,40.0,270.0,2800,2380,3600.0,0.778,284.82,heavy,14.819999999999993,0.947967137139246,5,0.2353,0.2857,0.5,0.1818,0.1818,0.5,0.0597,0.1213,18.9067,72.8147,18.9398,72.8354,Colaba,CST Station
1,3,0,Western Express Hwy,motorway,1,4500,65.0,202.5,5000,4250,5400.0,0.926,224.83,heavy,22.330000000000013,1.0,7,0.5882,1.0,0.125,0.8485,0.8485,1.0,0.179,0.0,19.0186,72.8418,19.0544,72.8404,Dadar,Bandra
1,6,0,Sion-Bandra Link,primary,0,4000,50.0,288.0,4200,3570,3600.0,1.167,368.03,gridlock,80.02999999999997,0.7825449012308779,5,0.4706,0.5714,0.6,0.6061,0.6061,0.5,0.3734,0.2895,19.0186,72.8418,19.0176,72.8178,Dadar,Worli
6,1,0,Sion-Bandra Link,primary,0,4000,50.0,288.0,4200,3570,3600.0,1.167,368.03,gridlock,80.02999999999997,0.7825449012308779,5,0.4706,0.5714,0.6,0.6061,0.6061,0.5,0.3734,0.2895,19.0176,72.8178,19.0186,72.8418,Worli,Dadar
2,9,0,Link Rd,primary,0,3000,50.0,216.0,4800,4080,3600.0,1.333,318.4,gridlock,102.39999999999998,0.6783919597989951,5,0.2353,0.5714,0.2,0.7879,0.7879,0.5,0.5073,0.1892,19.1197,72.8468,19.1663,72.8526,Andheri,Goregaon
9,2,0,Link Rd,primary,0,3000,50.0,216.0,4800,4080,3600.0,1.333,318.4,gridlock,102.39999999999998,0.6783919597989951,5,0.2353,0.5714,0.2,0.7879,0.7879,0.5,0.5073,0.1892,19.1663,72.8526,19.1197,72.8468,Goregaon,Andheri
2,8,0,Jogeshwari-Vikhroli Link,primary,0,6000,60.0,360.0,3500,2975,3600.0,0.972,408.25,heavy,48.25,0.8818126148193509,5,0.9412,0.8571,1.0,0.3939,0.3939,0.5,0.2161,0.3708,19.1197,72.8468,19.1176,72.906,Andheri,Powai
8,2,0,Jogeshwari-Vikhroli Link,primary,0,6000,60.0,360.0,3500,2975,3600.0,0.972,408.25,heavy,48.25,0.8818126148193509,5,0.9412,0.8571,1.0,0.3939,0.3939,0.5,0.2161,0.3708,19.1176,72.906,19.1197,72.8468,Powai,Andheri
3,6,0,Bandra-Worli Sea Link,motorway,1,5500,65.0,247.5,3800,3230,5400.0,0.704,256.6,heavy,9.100000000000023,1.0,7,0.8235,1.0,0.375,0.4848,0.4848,1.0,0.0,0.0642,19.0544,72.8404,19.0176,72.8178,Bandra,Worli
3,4,0,LBS Marg,primary,0,3500,45.0,280.0,4500,3825,3600.0,1.25,382.54,gridlock,102.54000000000002,0.7319496000418256,5,0.3529,0.4286,0.5556,0.697,0.697,0.5,0.4403,0.3188,19.0544,72.8404,19.0668,72.8797,Bandra,Kurla
4,3,0,LBS Marg,primary,0,3500,45.0,280.0,4500,3825,3600.0,1.25,382.54,gridlock,102.54000000000002,0.7319496000418256,5,0.3529,0.4286,0.5556,0.697,0.697,0.5,0.4403,0.3188,19.0668,72.8797,19.0544,72.8404,Kurla,Bandra
4,12,0,Eastern Express,primary,0,3000,50.0,216.0,4200,3570,3600.0,1.167,276.02,gridlock,60.01999999999998,0.7825519889863054,5,0.2353,0.5714,0.2,0.6061,0.6061,0.5,0.3734,0.1035,19.0668,72.8797,19.062,72.9006,Kurla,Chembur
12,4,0,Eastern Express,primary,0,3000,50.0,216.0,4200,3570,3600.0,1.167,276.02,gridlock,60.01999999999998,0.7825519889863054,5,0.2353,0.5714,0.2,0.6061,0.6061,0.5,0.3734,0.1035,19.062,72.9006,19.0668,72.8797,Chembur,Kurla
4,19,0,Ghatkopar Rd,primary,0,2500,45.0,200.0,3800,3230,3600.0,1.056,237.24,gridlock,37.24000000000001,0.8430281571404484,5,0.1176,0.4286,0.1111,0.4848,0.4848,0.5,0.2839,0.0251,19.0668,72.8797,19.086,72.9082,Kurla,Ghatkopar
19,4,0,Ghatkopar Rd,primary,0,2500,45.0,200.0,3800,3230,3600.0,1.056,237.24,gridlock,37.24000000000001,0.8430281571404484,5,0.1176,0.4286,0.1111,0.4848,0.4848,0.5,0.2839,0.0251,19.086,72.9082,19.0668,72.8797,Ghatkopar,Kurla
5,14,0,Eastern Express Hwy,motorway,1,6250,65.0,360.0,5500,4675,5400.0,1.019,418.11,gridlock,58.110000000000014,0.8279013803875682,7,1.0,1.0,1.0,1.0,1.0,1.0,0.254,0.3907,19.2183,72.9781,19.1768,72.9558,Thane,Mulund
5,11,0,Western Express Hwy N,motorway,1,6250,65.0,315.0,5200,4420,5400.0,0.963,355.63,heavy,40.629999999999995,0.9733538963356472,7,1.0,1.0,0.75,0.9091,0.9091,1.0,0.2089,0.2644,19.2183,72.9781,19.2307,72.8567,Thane,Borivali
6,7,0,Dr Annie Rd,secondary,0,2000,35.0,205.71,3500,2975,1800.0,1.944,646.82,gridlock,441.11,0.3180394633967498,4,0.0,0.1429,0.1428,0.3939,0.3939,0.0,1.0,0.8531,19.0176,72.8178,18.9948,72.8262,Worli,Lower Parel
7,6,0,Dr Annie Rd,secondary,0,2000,35.0,205.71,3500,2975,1800.0,1.944,646.82,gridlock,441.11,0.3180394633967498,4,0.0,0.1429,0.1428,0.3939,0.3939,0.0,1.0,0.8531,18.9948,72.8262,19.0176,72.8178,Lower Parel,Worli
7,0,0,Tulsi Pipe Rd,primary,0,3000,40.0,270.0,3200,2720,3600.0,0.889,295.28,heavy,25.279999999999973,0.9143863451639123,5,0.2353,0.2857,0.5,0.303,0.303,0.5,0.1492,0.1424,18.9948,72.8262,18.9398,72.8354,Lower Parel,CST Station
0,7,0,Tulsi Pipe Rd,primary,0,3000,40.0,270.0,3200,2720,3600.0,0.889,295.28,heavy,25.279999999999973,0.9143863451639123,5,0.2353,0.2857,0.5,0.303,0.303,0.5,0.1492,0.1424,18.9398,72.8354,18.9948,72.8262,CST Station,Lower Parel
8,18,0,Powai Rd,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.4706,0.4286,0.7778,0.0909,0.0909,0.0,0.5524,0.5534,19.1176,72.906,19.143,72.942,Powai,Bhandup
