u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,1,0,Central Ave,primary,0,1500,40.0,135.0,2500,2125,3600.0,0.694,139.71,moderate,4.710000000000008,0.9662873094266695,5,0.0278,0.1818,0.0278,0.5,0.5,0.5,0.195,0.0,21.1438,79.0882,21.1497,79.0834,Nagpur Railway Stn,Sitabuldi
1,0,0,Central Ave,primary,0,1500,40.0,135.0,2500,2125,3600.0,0.694,139.71,moderate,4.710000000000008,0.9662873094266695,5,0.0278,0.1818,0.0278,0.5,0.5,0.5,0.195,0.0,21.1497,79.0834,21.1438,79.0882,Sitabuldi,Nagpur Railway Stn
0,12,0,Wardha Rd,primary,0,2500,45.0,200.0,2200,1870,3600.0,0.611,204.18,moderate,4.180000000000007,0.9795278675678323,5,0.1204,0.2727,0.1838,0.35,0.35,0.5,0.0347,0.15,21.1438,79.0882,21.1423,79.1055,Nagpur Railway Stn,Itwari
12,0,0,Wardha Rd,primary,0,2500,45.0,200.0,2200,1870,3600.0,0.611,204.18,moderate,4.180000000000007,0.9795278675678323,5,0.1204,0.2727,0.1838,0.35,0.35,0.5,0.0347,0.15,21.1423,79.1055,21.1438,79.0882,Itwari,Nagpur Railway Stn
1,3,0,Kingsway,secondary,0,1200,35.0,123.43,2000,1700,1800.0,1.111,151.65,gridlock,28.22,0.8139041966935142,4,0.0,0.0909,0.0,0.25,0.25,0.0,1.0,0.0278,21.1497,79.0834,21.152,79.076,Sitabuldi,Sadar Bazaar
3,1,0,Kingsway,secondary,0,1200,35.0,123.43,2000,1700,1800.0,1.111,151.65,gridlock,28.22,0.8139041966935142,4,0.0,0.0909,0.0,0.25,0.25,0.0,1.0,0.0278,21.152,79.076,21.1497,79.0834,Sadar Bazaar,Sitabuldi
1,11,0,Civil Lines Rd,secondary,0,1800,35.0,185.14,1800,1530,1800.0,1.0,212.91,gridlock,27.77000000000001,0.8695827210692647,4,0.0556,0.0909,0.1481,0.15,0.15,0.0,0.7857,0.1703,21.1497,79.0834,21.1575,79.0876,Sitabuldi,Civil Lines
11,1,0,Civil Lines Rd,secondary,0,1800,35.0,185.14,1800,1530,1800.0,1.0,212.91,gridlock,27.77000000000001,0.8695827210692647,4,0.0556,0.0909,0.1481,0.15,0.15,0.0,0.7857,0.1703,21.1575,79.0876,21.1497,79.0834,Civil Lines,Sitabuldi
2,3,0,Dharampeth Rd,secondary,0,1500,30.0,180.0,1500,1275,1800.0,0.833,193.02,heavy,13.02000000000001,0.9325458501709666,4,0.0278,0.0,0.1358,0.0,0.0,0.0,0.4633,0.124,21.145,79.07,21.152,79.076,Dharampeth,Sadar Bazaar
3,2,0,Dharampeth Rd,secondary,0,1500,30.0,180.0,1500,1275,1800.0,0.833,193.02,heavy,13.02000000000001,0.9325458501709666,4,0.0278,0.0,0.1358,0.0,0.0,0.0,0.4633,0.124,21.152,79.076,21.145,79.07,Sadar Bazaar,Dharampeth
4,9,0,National Hwy,motorway,1,12000,85.0,432.0,3500,2975,5400.0,0.648,443.44,moderate,11.439999999999998,1.0,7,1.0,1.0,0.7407,1.0,1.0,1.0,0.1062,0.7065,21.093,79.068,21.045,79.05,Wardha Rd,Butibori
5,0,0,Katol Rd,primary,0,8000,60.0,480.0,2800,2380,3600.0,0.778,506.35,heavy,26.350000000000023,0.9479608966130147,5,0.6296,0.5455,0.856,0.65,0.65,0.5,0.3571,0.8528,21.21,79.055,21.1438,79.0882,Katol Rd,Nagpur Railway Stn
0,5,0,Katol Rd,primary,0,8000,60.0,480.0,2800,2380,3600.0,0.778,506.35,heavy,26.350000000000023,0.9479608966130147,5,0.6296,0.5455,0.856,0.65,0.65,0.5,0.3571,0.8528,21.1438,79.0882,21.21,79.055,Nagpur Railway Stn,Katol Rd
