u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,1,0,Bund Garden Rd,primary,0,2500,45.0,200.0,2800,2380,3600.0,0.778,210.98,heavy,10.97999999999999,0.9479571523367145,5,0.1129,0.2667,0.0556,0.52,0.52,0.5,0.5205,0.0787,18.5283,73.874,18.5308,73.8474,Pune Jn. Station,Shivajinagar
1,0,0,Bund Garden Rd,primary,0,2500,45.0,200.0,2800,2380,3600.0,0.778,210.98,heavy,10.97999999999999,0.9479571523367145,5,0.1129,0.2667,0.0556,0.52,0.52,0.5,0.5205,0.0787,18.5308,73.8474,18.5283,73.874,Shivajinagar,Pune Jn. Station
0,14,0,Nagar Rd,primary,0,5000,60.0,300.0,2500,2125,3600.0,0.694,310.47,moderate,10.470000000000027,0.9662769349695621,5,0.5161,0.6667,0.3333,0.4,0.4,0.5,0.4298,0.338,18.5283,73.874,18.5618,73.8978,Pune Jn. Station,Yerwada
14,0,0,Nagar Rd,primary,0,5000,60.0,300.0,2500,2125,3600.0,0.694,310.47,moderate,10.470000000000027,0.9662769349695621,5,0.5161,0.6667,0.3333,0.4,0.4,0.5,0.4298,0.338,18.5618,73.8978,18.5283,73.874,Yerwada,Pune Jn. Station
1,2,0,FC Rd,secondary,0,1800,35.0,185.14,2200,1870,1800.0,1.222,247.12,gridlock,61.98000000000002,0.7492022383573047,4,0.0,0.0,0.0143,0.28,0.28,0.0,1.0,0.1729,18.5308,73.8474,18.5196,73.8408,Shivajinagar,Deccan Gymkhana
2,1,0,FC Rd,secondary,0,1800,35.0,185.14,2200,1870,1800.0,1.222,247.12,gridlock,61.98000000000002,0.7492022383573047,4,0.0,0.0,0.0143,0.28,0.28,0.0,1.0,0.1729,18.5196,73.8408,18.5308,73.8474,Deccan Gymkhana,Shivajinagar
2,3,0,Karve Rd,secondary,0,4000,40.0,360.0,2000,1700,1800.0,1.111,442.3,gridlock,82.30000000000001,0.813927198733891,4,0.3548,0.1333,0.5,0.2,0.2,0.0,0.8801,0.6817,18.5196,73.8408,18.5074,73.8076,Deccan Gymkhana,Kothrud
3,2,0,Karve Rd,secondary,0,4000,40.0,360.0,2000,1700,1800.0,1.111,442.3,gridlock,82.30000000000001,0.813927198733891,4,0.3548,0.1333,0.5,0.2,0.2,0.0,0.8801,0.6817,18.5074,73.8076,18.5196,73.8408,Kothrud,Deccan Gymkhana
3,9,0,Sinhagad Rd,secondary,0,6000,50.0,432.0,1800,1530,1800.0,1.0,496.8,gridlock,64.80000000000001,0.8695652173913043,4,0.6774,0.4,0.7,0.12,0.12,0.0,0.7603,0.8238,18.5074,73.8076,18.4697,73.8175,Kothrud,Sinhagad Rd
9,3,0,Sinhagad Rd,secondary,0,6000,50.0,432.0,1800,1530,1800.0,1.0,496.8,gridlock,64.80000000000001,0.8695652173913043,4,0.6774,0.4,0.7,0.12,0.12,0.0,0.7603,0.8238,18.4697,73.8175,18.5074,73.8076,Sinhagad Rd,Kothrud
