u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,9,0,Station Sq Rd,primary,0,2000,40.0,180.0,2200,1870,3600.0,0.611,183.77,moderate,3.7700000000000102,0.9794852260978397,5,0.0,0.4,0.0,0.56,0.4667,0.5,0.0539,0.0,20.2656,85.8397,20.293,85.833,Bhubaneswar Stn,Unit 4
9,0,0,Station Sq Rd,primary,0,2000,40.0,180.0,2200,1870,3600.0,0.611,183.77,moderate,3.7700000000000102,0.9794852260978397,5,0.0,0.4,0.0,0.56,0.4667,0.5,0.0539,0.0,20.293,85.833,20.2656,85.8397,Unit 4,Bhubaneswar Stn
0,7,0,Khordha Rd,secondary,0,6000,47.5,432.0,1800,1530,1800.0,1.0,496.8,gridlock,64.80000000000001,0.9153318077803204,4,1.0,1.0,1.0,0.24,0.2,0.0,0.79,1.0,20.2656,85.8397,20.24,85.81,Bhubaneswar Stn,Tamando
7,0,0,Khordha Rd,secondary,0,6000,47.5,432.0,1800,1530,1800.0,1.0,496.8,gridlock,64.80000000000001,0.9153318077803204,4,1.0,1.0,1.0,0.24,0.2,0.0,0.79,1.0,20.24,85.81,20.2656,85.8397,Tamando,Bhubaneswar Stn
1,3,0,Sachivalaya Marg,secondary,0,2500,35.0,257.14,1800,1530,1800.0,1.0,295.71,gridlock,38.56999999999999,0.8695778199684054,4,0.125,0.0,0.3061,0.24,0.2,0.0,0.79,0.3576,20.2963,85.8245,20.2867,85.8032,Janpath,Nayapalli
3,1,0,Sachivalaya Marg,secondary,0,2500,35.0,257.14,1800,1530,1800.0,1.0,295.71,gridlock,38.56999999999999,0.8695778199684054,4,0.125,0.0,0.3061,0.24,0.2,0.0,0.79,0.3576,20.2867,85.8032,20.2963,85.8245,Nayapalli,Janpath
1,9,0,Janpath Rd,primary,0,2000,35.0,205.71,2000,1700,3600.0,0.5824999999999999,208.65,moderate,2.9399999999999977,0.9859299578925746,5,0.0,0.0,0.102,0.4,0.3333,0.5,0.0,0.0795,20.2963,85.8245,20.293,85.833,Janpath,Unit 4
9,1,0,Janpath Rd,primary,0,2000,35.0,205.71,2000,1700,3600.0,0.5824999999999999,208.65,moderate,2.9399999999999977,0.9859299578925746,5,0.0,0.0,0.102,0.4,0.3333,0.5,0.0,0.0795,20.293,85.833,20.2963,85.8245,Unit 4,Janpath
2,4,0,Patia-CS Pur,secondary,0,3000,40.0,270.0,1600,1360,1800.0,0.889,295.28,heavy,25.279999999999973,0.9143863451639123,4,0.25,0.4,0.3571,0.08,0.0667,0.0,0.5799,0.3562,20.3508,85.8139,20.3367,85.8147,Patia,Chandrasekharpur
4,2,0,Patia-CS Pur,secondary,0,3000,40.0,270.0,1600,1360,1800.0,0.889,295.28,heavy,25.279999999999973,0.9143863451639123,4,0.25,0.4,0.3571,0.08,0.0667,0.0,0.5799,0.3562,20.3367,85.8147,20.3508,85.8139,Chandrasekharpur,Patia
3,8,0,Khandagiri Rd,secondary,0,4000,40.0,360.0,1500,1275,1800.0,0.833,386.04,heavy,26.04000000000002,0.9325458501709669,4,0.5,0.4,0.7143,0.0,0.0,0.0,0.474,0.6462,20.2867,85.8032,20.2644,85.773,Nayapalli,Khandagiri
8,3,0,Khandagiri Rd,secondary,0,4000,40.0,360.0,1500,1275,1800.0,0.833,386.04,heavy,26.04000000000002,0.9325458501709669,4,0.5,0.4,0.7143,0.0,0.0,0.0,0.474,0.6462,20.2644,85.773,20.2867,85.8032,Khandagiri,Nayapalli
4,2,0,CS Pur Main,secondary,0,2000,35.0,205.71,1500,1275,1800.0,0.833,220.6,heavy,14.889999999999986,0.9325216940810777,4,0.0,0.0,0.102,0.0,0.0,0.0,0.474,0.1177,20.3367,85.8147,20.3508,85.8139,Chandrasekharpur,Patia
