u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,2,0,Circular Rd,secondary,0,1500,30.0,180.0,2000,1700,1800.0,1.111,221.15,gridlock,41.150000000000006,0.8139271987338911,4,0.0441,0.0,0.1071,0.3529,0.3333,0.0,1.0,0.1712,31.62,74.8765,31.6185,74.8762,Golden Temple,Hall Bazaar
2,0,0,Circular Rd,secondary,0,1500,30.0,180.0,2000,1700,1800.0,1.111,221.15,gridlock,41.150000000000006,0.8139271987338911,4,0.0441,0.0,0.1071,0.3529,0.3333,0.0,1.0,0.1712,31.6185,74.8762,31.62,74.8765,Hall Bazaar,Golden Temple
0,8,0,Sultanwind Rd,secondary,0,3500,40.0,315.0,1800,1530,1800.0,1.0,362.25,gridlock,47.25,0.8695652173913044,4,0.3382,0.25,0.5089,0.2353,0.2222,0.0,0.8183,0.6061,31.62,74.8765,31.61,74.9,Golden Temple,Sultanwind
8,0,0,Sultanwind Rd,secondary,0,3500,40.0,315.0,1800,1530,1800.0,1.0,362.25,gridlock,47.25,0.8695652173913044,4,0.3382,0.25,0.5089,0.2353,0.2222,0.0,0.8183,0.6061,31.61,74.9,31.62,74.8765,Sultanwind,Golden Temple
1,0,0,Station Rd,primary,0,2000,35.0,205.71,2500,2125,3600.0,0.694,212.89,moderate,7.179999999999978,0.9662937935754885,5,0.1176,0.125,0.1837,0.6471,0.6111,0.5,0.3175,0.1458,31.6327,74.8722,31.62,74.8765,Amritsar Jn. Stn,Golden Temple
0,1,0,Station Rd,primary,0,2000,35.0,205.71,2500,2125,3600.0,0.694,212.89,moderate,7.179999999999978,0.9662937935754885,5,0.1176,0.125,0.1837,0.6471,0.6111,0.5,0.3175,0.1458,31.62,74.8765,31.6327,74.8722,Golden Temple,Amritsar Jn. Stn
1,7,0,Lawrence Rd,secondary,0,2500,35.0,257.14,1800,1530,1800.0,1.0,295.71,gridlock,38.56999999999999,0.8695778199684054,4,0.1912,0.125,0.3367,0.2353,0.2222,0.0,0.8183,0.401,31.6327,74.8722,31.632,74.858,Amritsar Jn. Stn,Lawrence Rd
7,1,0,Lawrence Rd,secondary,0,2500,35.0,257.14,1800,1530,1800.0,1.0,295.71,gridlock,38.56999999999999,0.8695778199684054,4,0.1912,0.125,0.3367,0.2353,0.2222,0.0,0.8183,0.401,31.632,74.858,31.6327,74.8722,Lawrence Rd,Amritsar Jn. Stn
2,7,0,Queens Rd,secondary,0,1200,30.0,144.0,1800,1530,1800.0,1.0,165.6,gridlock,21.599999999999994,0.8695652173913044,4,0.0,0.0,0.0,0.2353,0.2222,0.0,0.8183,0.0,31.6185,74.8762,31.632,74.858,Hall Bazaar,Lawrence Rd
7,2,0,Queens Rd,secondary,0,1200,30.0,144.0,1800,1530,1800.0,1.0,165.6,gridlock,21.599999999999994,0.8695652173913044,4,0.0,0.0,0.0,0.2353,0.2222,0.0,0.8183,0.0,31.632,74.858,31.6185,74.8762,Lawrence Rd,Hall Bazaar
3,7,0,Ranjit Ave Rd,secondary,0,3000,40.0,270.0,1600,1360,1800.0,0.889,295.28,heavy,25.279999999999973,0.9143863451639123,4,0.2647,0.25,0.375,0.1176,0.1111,0.0,0.6367,0.3997,31.646,74.841,31.632,74.858,Ranjit Ave,Lawrence Rd
7,3,0,Ranjit Ave Rd,secondary,0,3000,40.0,270.0,1600,1360,1800.0,0.889,295.28,heavy,25.279999999999973,0.9143863451639123,4,0.2647,0.25,0.375,0.1176,0.1111,0.0,0.6367,0.3997,31.632,74.858,31.646,74.841,Lawrence Rd,Ranjit Ave
4,5,0,GT Rd N,motorway,1,5000,70.0,257.14,3100,2720,5400.0,0.593,261.9,moderate,4.759999999999991,0.9818360333824253,7,0.5588,1.0,0.3367,1.0,1.0,1.0,0.1522,0.2968,31.661,74.895,31.675,74.91,GT Rd Amritsar,Majitha Rd
4,6,0,GT Rd E,motorway,1,6000,70.0,308.57,3000,2550,5400.0,0.556,312.98,moderate,4.410000000000025,0.9859142072063024,7,0.7059,1.0,0.4898,0.9412,0.8889,1.0,0.0917,0.4543,31.661,74.895,31.69,74.92,GT Rd Amritsar,Batala Rd
5,1,0,Majitha Rd S,primary,0,6000,60.0,360.0,2500,2125,3600.0,0.694,372.56,moderate,12.560000000000002,0.9662873094266694,5,0.7059,0.75,0.6429,0.6471,0.6111,0.5,0.3175,0.6379,31.675,74.91,31.6327,74.8722,Majitha Rd,Amritsar Jn. Stn
1,5,0,Majitha Rd S,primary,0,6000,60.0,360.0,2500,2125,3600.0,0.694,372.56,moderate,12.560000000000002,0.9662873094266694,5,0.7059,0.75,0.6429,0.6471,0.6111,0.5,0.3175,0.6379,31.6327,74.8722,31.675,74.91,Amritsar Jn. Stn,Majitha Rd
6,4,0,Batala-GT,primary,0,5000,55.0,327.27,2200,1870,3600.0,0.611,334.12,moderate,6.850000000000023,0.9795065463687515,5,0.5588,0.625,0.5454,0.4706,0.4444,0.5,0.1817,0.5194,31.69,74.92,31.661,74.895,Batala Rd,GT Rd Amritsar
4,6,0,Batala-GT,primary,0,5000,55.0,327.27,2200,1870,3600.0,0.611,334.12,moderate,6.850000000000023,0.9795065463687515,5,0.5588,0.625,0.5454,0.4706,0.4444,0.5,0.1817,0.5194,31.661,74.895,31.69,74.92,GT Rd Amritsar,Batala Rd
7,3,0,Ranjit Link,secondary,0,3000,40.0,270.0,1500,1275,1800.0,0.833,289.53,heavy,19.529999999999973,0.9325458501709669,4,0.2647,0.25,0.375,0.0588,0.0556,0.0,0.545,0.382,31.632,74.858,31.646,74.841,Lawrence Rd,Ranjit Ave
3,7,0,Ranjit Link,secondary,0,3000,40.0,270.0,1500,1275,1800.0,0.833,289.53,heavy,19.529999999999973,0.9325458501709669,4,0.2647,0.25,0.375,0.0588,0.0556,0.0,0.545,0.382,31.646,74.841,31.632,74.858,Ranjit Ave,Lawrence Rd
8,10,0,Tarn Taran Rd,primary,0,8000,60.0,480.0,2200,1870,3600.0,0.611,490.04,moderate,10.04000000000002,0.9795118765815036,5,1.0,0.75,1.0,0.4706,0.4444,0.5,0.1817,1.0,31.61,74.9,31.58,74.92,Sultanwind,Tarn Taran Rd
10,8,0,Tarn Taran Rd,primary,0,8000,60.0,480.0,2200,1870,3600.0,0.611,490.04,moderate,10.04000000000002,0.9795118765815036,5,1.0,0.75,1.0,0.4706,0.4444,0.5,0.1817,1.0,31.58,74.92,31.61,74.9,Tarn Taran Rd,Sultanwind
9,7,0,Chheharta Rd,secondary,0,4000,40.0,360.0,1600,1360,1800.0,0.889,393.71,heavy,33.70999999999998,0.9143786035406771,4,0.4118,0.25,0.6429,0.1176,0.1111,0.0,0.6367,0.7031,31.645,74.82,31.632,74.858,Chheharta,Lawrence Rd
7,9,0,Chheharta Rd,secondary,0,4000,40.0,360.0,1600,1360,1800.0,0.889,393.71,heavy,33.70999999999998,0.9143786035406771,4,0.4118,0.25,0.6429,0.1176,0.1111,0.0,0.6367,0.7031,31.632,74.858,31.645,74.82,Lawrence Rd,Chheharta
10,0,0,Chowk Rd,primary,0,5000,50.0,360.0,1800,1530,3600.0,0.5,363.37,moderate,3.3700000000000045,0.99072570658007,5,0.5588,0.5,0.6429,0.2353,0.2222,0.5,0.0,0.6096,31.58,74.92,31.62,74.8765,Tarn Taran Rd,Golden Temple
0,10,0,Chowk Rd,primary,0,5000,50.0,360.0,1800,1530,3600.0,0.5,363.37,moderate,3.3700000000000045,0.99072570658007,5,0.5588,0.5,0.6429,0.2353,0.2222,0.5,0.0,0.6096,31.62,74.8765,31.58,74.92,Golden Temple,Tarn Taran Rd
1,4,0,GT Rd Link,motorway,1,4000,65.0,221.54,3000,2550,5400.0,0.556,224.7,moderate,3.1599999999999966,0.9859299578925748,7,0.4118,0.875,0.2308,0.9412,0.8889,1.0,0.0917,0.1822,31.6327,74.8722,31.661,74.895,Amritsar Jn. Stn,GT Rd Amritsar
3,9,0,Ranjit-Chheharta,secondary,0,3000,35.0,308.57,1400,1190,1800.0,0.778,325.51,heavy,16.939999999999998,0.9479629767792958,4,0.2647,0.125,0.4898,0.0,0.0,0.0,0.455,0.4929,31.646,74.841,31.645,74.82,Ranjit Ave,Chheharta
9,3,0,Ranjit-Chheharta,secondary,0,3000,35.0,308.57,1400,1190,1800.0,0.778,325.51,heavy,16.939999999999998,0.9479629767792958,4,0.2647,0.125,0.4898,0.0,0.0,0.0,0.455,0.4929,31.645,74.82,31.646,74.841,Chheharta,Ranjit Ave
