u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,1,0,Sawai Jai Singh Hwy,primary,0,2000,40.0,180.0,2800,2380,3600.0,0.778,189.88,heavy,9.879999999999995,0.947967137139246,5,0.0,0.0,0.0,0.5882,0.5882,0.5,0.1754,0.0,26.9195,75.7873,26.9124,75.7873,Jaipur Jn. Station,Sindhi Camp
1,0,0,Sawai Jai Singh Hwy,primary,0,2000,40.0,180.0,2800,2380,3600.0,0.778,189.88,heavy,9.879999999999995,0.947967137139246,5,0.0,0.0,0.0,0.5882,0.5882,0.5,0.1754,0.0,26.9124,75.7873,26.9195,75.7873,Sindhi Camp,Jaipur Jn. Station
0,11,0,Delhi Rd,motorway,1,8000,65.0,360.0,3500,2975,5400.0,0.648,369.53,moderate,9.529999999999973,1.0,7,1.0,1.0,0.7143,1.0,1.0,1.0,0.0,0.3718,26.9195,75.7873,26.964,75.818,Jaipur Jn. Station,Delhi Rd
1,2,0,MI Rd,primary,0,2500,40.0,225.0,3000,2550,3600.0,0.833,241.28,heavy,16.28,0.9325265251989391,5,0.0833,0.0,0.1786,0.7059,0.7059,0.5,0.2497,0.1064,26.9124,75.7873,26.92,75.8188,Sindhi Camp,MI Rd
2,1,0,MI Rd,primary,0,2500,40.0,225.0,3000,2550,3600.0,0.833,241.28,heavy,16.28,0.9325265251989391,5,0.0833,0.0,0.1786,0.7059,0.7059,0.5,0.2497,0.1064,26.92,75.8188,26.9124,75.7873,MI Rd,Sindhi Camp
2,9,0,Tonk Rd,primary,0,5000,50.0,360.0,2800,2380,3600.0,0.778,379.76,heavy,19.75999999999999,0.9479671371392459,5,0.5,0.4,0.7143,0.5882,0.5882,0.5,0.1754,0.3929,26.92,75.8188,26.878,75.8165,MI Rd,Tonk Rd
9,2,0,Tonk Rd,primary,0,5000,50.0,360.0,2800,2380,3600.0,0.778,379.76,heavy,19.75999999999999,0.9479671371392459,5,0.5,0.4,0.7143,0.5882,0.5882,0.5,0.1754,0.3929,26.878,75.8165,26.92,75.8188,Tonk Rd,MI Rd
3,10,0,Ajmer Rd,primary,0,7000,60.0,420.0,2500,2125,3600.0,0.694,434.65,moderate,14.649999999999977,0.9662947198895665,5,0.8333,0.8,0.9524,0.4118,0.4118,0.5,0.0621,0.5065,26.904,75.7413,26.937,75.713,Vaishali Nagar,Ajmer Rd
10,3,0,Ajmer Rd,primary,0,7000,60.0,420.0,2500,2125,3600.0,0.694,434.65,moderate,14.649999999999977,0.9662947198895665,5,0.8333,0.8,0.9524,0.4118,0.4118,0.5,0.0621,0.5065,26.937,75.713,26.904,75.7413,Ajmer Rd,Vaishali Nagar
4,9,0,JLN Marg,secondary,0,6000,50.0,432.0,2500,2125,1800.0,1.389,673.13,gridlock,241.13,0.641777962652088,4,0.6667,0.4,1.0,0.4118,0.4118,0.0,1.0,1.0,26.8564,75.8113,26.878,75.8165,Malviya Nagar,Tonk Rd
9,4,0,JLN Marg,secondary,0,6000,50.0,432.0,2500,2125,1800.0,1.389,673.13,gridlock,241.13,0.641777962652088,4,0.6667,0.4,1.0,0.4118,0.4118,0.0,1.0,1.0,26.878,75.8165,26.8564,75.8113,Tonk Rd,Malviya Nagar
4,13,0,Pratap Nagar Rd,secondary,0,3000,40.0,270.0,2000,1700,1800.0,1.111,331.73,gridlock,61.73000000000002,0.8139149308172309,4,0.1667,0.0,0.3571,0.1176,0.1176,0.0,0.6248,0.2935,26.8564,75.8113,26.838,75.778,Malviya Nagar,Pratap Nagar
13,4,0,Pratap Nagar Rd,secondary,0,3000,40.0,270.0,2000,1700,1800.0,1.111,331.73,gridlock,61.73000000000002,0.8139149308172309,4,0.1667,0.0,0.3571,0.1176,0.1176,0.0,0.6248,0.2935,26.838,75.778,26.8564,75.8113,Pratap Nagar,Malviya Nagar
5,7,0,Sanganer Rd,secondary,0,6000,50.0,432.0,2200,1870,1800.0,1.222,576.6,gridlock,144.60000000000002,0.7492195629552549,4,0.6667,0.4,1.0,0.2353,0.2353,0.0,0.7746,0.8002,26.792,75.848,26.8089,75.8175,Sitapura RIICO,Sanganer
7,5,0,Sanganer Rd,secondary,0,6000,50.0,432.0,2200,1870,1800.0,1.222,576.6,gridlock,144.60000000000002,0.7492195629552549,4,0.6667,0.4,1.0,0.2353,0.2353,0.0,0.7746,0.8002,26.8089,75.8175,26.792,75.848,Sanganer,Sitapura RIICO
5,8,0,Jagatpura-Sitapura,secondary,0,4000,45.0,320.0,2000,1700,1800.0,1.111,393.16,gridlock,73.16000000000003,0.8139179977617256,4,0.3333,0.2,0.5556,0.1176,0.1176,0.0,0.6248,0.4207,26.792,75.848,26.8283,75.8591,Sitapura RIICO,Jagatpura
8,5,0,Jagatpura-Sitapura,secondary,0,4000,45.0,320.0,2000,1700,1800.0,1.111,393.16,gridlock,73.16000000000003,0.8139179977617256,4,0.3333,0.2,0.5556,0.1176,0.1176,0.0,0.6248,0.4207,26.8283,75.8591,26.792,75.848,Jagatpura,Sitapura RIICO
6,3,0,Mansarovar Rd,secondary,0,4000,40.0,360.0,2200,1870,1800.0,1.222,480.5,gridlock,120.5,0.7492195629552548,4,0.3333,0.0,0.7143,0.2353,0.2353,0.0,0.7746,0.6014,26.8554,75.7677,26.904,75.7413,Mansarovar,Vaishali Nagar
3,6,0,Mansarovar Rd,secondary,0,4000,40.0,360.0,2200,1870,1800.0,1.222,480.5,gridlock,120.5,0.7492195629552548,4,0.3333,0.0,0.7143,0.2353,0.2353,0.0,0.7746,0.6014,26.904,75.7413,26.8554,75.7677,Vaishali Nagar,Mansarovar
7,6,0,Sanganer-Mansarovar,secondary,0,5000,45.0,400.0,2000,1700,1800.0,1.111,491.45,gridlock,91.44999999999999,0.8139179977617256,4,0.5,0.2,0.873,0.1176,0.1176,0.0,0.6248,0.624,26.8089,75.8175,26.8554,75.7677,Sanganer,Mansarovar
6,7,0,Sanganer-Mansarovar,secondary,0,5000,45.0,400.0,2000,1700,1800.0,1.111,491.45,gridlock,91.44999999999999,0.8139179977617256,4,0.5,0.2,0.873,0.1176,0.1176,0.0,0.6248,0.624,26.8554,75.7677,26.8089,75.8175,Mansarovar,Sanganer
8,4,0,Malviya Nagar Rd,secondary,0,4000,40.0,360.0,2200,1870,1800.0,1.222,480.5,gridlock,120.5,0.7492195629552548,4,0.3333,0.0,0.7143,0.2353,0.2353,0.0,0.7746,0.6014,26.8283,75.8591,26.8564,75.8113,Jagatpura,Malviya Nagar
4,8,0,Malviya Nagar Rd,secondary,0,4000,40.0,360.0,2200,1870,1800.0,1.222,480.5,gridlock,120.5,0.7492195629552548,4,0.3333,0.0,0.7143,0.2353,0.2353,0.0,0.7746,0.6014,26.8564,75.8113,26.8283,75.8591,Malviya Nagar,Jagatpura
9,4,0,Malviya-Tonk,secondary,0,3000,40.0,270.0,2000,1700,1800.0,1.111,331.73,gridlock,61.73000000000002,0.8139149308172309,4,0.1667,0.0,0.3571,0.1176,0.1176,0.0,0.6248,0.2935,26.878,75.8165,26.8564,75.8113,Tonk Rd,Malviya Nagar
4,9,0,Malviya-Tonk,secondary,0,3000,40.0,270.0,2000,1700,1800.0,1.111,331.73,gridlock,61.73000000000002,0.8139149308172309,4,0.1667,0.0,0.3571,0.1176,0.1176,0.0,0.6248,0.2935,26.8564,75.8113,26.878,75.8165,Malviya Nagar,Tonk Rd
10,0,0,Ajmer Rd E,primary,0,6000,55.0,392.73,2800,2380,3600.0,0.778,414.29,heavy,21.560000000000002,0.947952576039182,5,0.6667,0.6,0.8442,0.5882,0.5882,0.5,0.1754,0.4644,26.937,75.713,26.9195,75.7873,Ajmer Rd,Jaipur Jn. Station
0,10,0,Ajmer Rd E,primary,0,6000,55.0,392.73,2800,2380,3600.0,0.778,414.29,heavy,21.560000000000002,0.947952576039182,5,0.6667,0.6,0.8442,0.5882,0.5882,0.5,0.1754,0.4644,26.9195,75.7873,26.937,75.713,Jaipur Jn. Station,Ajmer Rd
