u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,17,0,EVR Periyar Salai,primary,0,2500,45.0,200.0,3500,2975,3600.0,0.972,226.8,heavy,26.80000000000001,0.8818342151675486,5,0.0741,0.3333,0.0,0.6,0.6,0.5,0.3529,0.0,13.0827,80.2707,13.0732,80.2609,Chennai Central,Egmore
17,0,0,EVR Periyar Salai,primary,0,2500,45.0,200.0,3500,2975,3600.0,0.972,226.8,heavy,26.80000000000001,0.8818342151675486,5,0.0741,0.3333,0.0,0.6,0.6,0.5,0.3529,0.0,13.0732,80.2609,13.0827,80.2707,Egmore,Chennai Central
0,12,0,Poonamalle Rd,primary,0,5000,55.0,327.27,3200,2720,3600.0,0.889,357.92,heavy,30.650000000000034,0.9143739586296582,5,0.4444,0.6667,0.5091,0.48,0.48,0.5,0.2756,0.3274,13.0827,80.2707,13.1165,80.2361,Chennai Central,Perambur
12,0,0,Poonamalle Rd,primary,0,5000,55.0,327.27,3200,2720,3600.0,0.889,357.92,heavy,30.650000000000034,0.9143739586296582,5,0.4444,0.6667,0.5091,0.48,0.48,0.5,0.2756,0.3274,13.1165,80.2361,13.0827,80.2707,Perambur,Chennai Central
1,9,0,Anna Salai,primary,0,4500,50.0,324.0,4000,3400,3600.0,1.111,398.07,gridlock,74.07,0.8139271987338911,5,0.3704,0.5,0.496,0.8,0.8,0.5,0.4823,0.4276,13.0418,80.2341,13.0067,80.2206,T Nagar,Guindy
9,1,0,Anna Salai,primary,0,4500,50.0,324.0,4000,3400,3600.0,1.111,398.07,gridlock,74.07,0.8139271987338911,5,0.3704,0.5,0.496,0.8,0.8,0.5,0.4823,0.4276,13.0067,80.2206,13.0418,80.2341,Guindy,T Nagar
1,10,0,Arcot Rd,primary,0,5000,50.0,360.0,3500,2975,3600.0,0.972,408.25,heavy,48.25,0.8818126148193509,5,0.4444,0.5,0.64,0.6,0.6,0.5,0.3529,0.453,13.0418,80.2341,13.0694,80.1947,T Nagar,Koyambedu
10,1,0,Arcot Rd,primary,0,5000,50.0,360.0,3500,2975,3600.0,0.972,408.25,heavy,48.25,0.8818126148193509,5,0.4444,0.5,0.64,0.6,0.6,0.5,0.3529,0.453,13.0694,80.1947,13.0418,80.2341,Koyambedu,T Nagar
2,18,0,Adyar Rd,secondary,0,3000,40.0,270.0,2500,2125,1800.0,1.389,420.7,gridlock,150.7,0.6417874970287616,4,0.1481,0.1667,0.28,0.2,0.2,0.0,0.7412,0.4841,13.0012,80.2565,12.9832,80.2608,Adyar,Thiruvanmiyur
18,2,0,Adyar Rd,secondary,0,3000,40.0,270.0,2500,2125,1800.0,1.389,420.7,gridlock,150.7,0.6417874970287616,4,0.1481,0.1667,0.28,0.2,0.2,0.0,0.7412,0.4841,12.9832,80.2608,13.0012,80.2565,Thiruvanmiyur,Adyar
3,6,0,Anna Nagar Rd,secondary,0,5000,45.0,400.0,2800,2380,1800.0,1.556,627.32625,gridlock,227.32624999999996,0.6376267532244985,4,0.4444,0.3333,0.8,0.32,0.32,0.0,0.8966,1.0,13.085,80.2101,13.1143,80.1548,Anna Nagar,Ambattur
6,3,0,Anna Nagar Rd,secondary,0,5000,45.0,400.0,2800,2380,1800.0,1.556,627.32625,gridlock,227.32624999999996,0.6376267532244985,4,0.4444,0.3333,0.8,0.32,0.32,0.0,0.8966,1.0,13.1143,80.1548,13.085,80.2101,Ambattur,Anna Nagar
4,9,0,Velachery Rd,primary,0,4000,50.0,288.0,3000,2550,3600.0,0.833,308.83,heavy,20.829999999999984,0.9325518893889843,5,0.2963,0.5,0.352,0.4,0.4,0.5,0.2235,0.2048,12.9785,80.2209,13.0067,80.2206,Velachery,Guindy
9,4,0,Velachery Rd,primary,0,4000,50.0,288.0,3000,2550,3600.0,0.833,308.83,heavy,20.829999999999984,0.9325518893889843,5,0.2963,0.5,0.352,0.4,0.4,0.5,0.2235,0.2048,13.0067,80.2206,12.9785,80.2209,Guindy,Velachery
4,11,0,OMR,motorway,1,8000,65.0,411.43,3500,2975,5400.0,0.648,422.32,moderate,10.889999999999986,1.0,7,0.8889,1.0,0.8457,0.6,0.6,1.0,0.0512,0.4882,12.9785,80.2209,12.9007,80.2274,Velachery,Sholinganallur
5,11,0,Old Mahabalipuram Rd,motorway,1,6000,65.0,308.57,4500,3825,5400.0,0.833,330.89,heavy,22.319999999999993,1.0,7,0.5926,1.0,0.4343,1.0,1.0,1.0,0.2235,0.2599,12.9575,80.2457,12.9007,80.2274,OMR Perungudi,Sholinganallur
5,18,0,OMR Inner,primary,0,4000,60.0,240.0,3500,2975,3600.0,0.972,272.16,heavy,32.160000000000025,0.8818342151675485,5,0.2963,0.8333,0.16,0.6,0.6,0.5,0.3529,0.1133,12.9575,80.2457,12.9832,80.2608,OMR Perungudi,Thiruvanmiyur
18,5,0,OMR Inner,primary,0,4000,60.0,240.0,3500,2975,3600.0,0.972,272.16,heavy,32.160000000000025,0.8818342151675485,5,0.2963,0.8333,0.16,0.6,0.6,0.5,0.3529,0.1133,12.9832,80.2608,12.9575,80.2457,Thiruvanmiyur,OMR Perungudi
6,8,0,NH-48 Chennai,motorway,1,8000,65.0,360.0,3200,2720,5400.0,0.593,366.66,moderate,6.660000000000025,1.0,7,0.8889,1.0,0.64,0.48,0.48,1.0,0.0,0.3492,13.1143,80.1548,13.0332,80.1581,Ambattur,Porur
7,15,0,Grand Southern Trunk,primary,0,3000,50.0,216.0,2800,2380,3600.0,0.778,227.86,heavy,11.860000000000014,0.9479504959185465,5,0.1481,0.5,0.064,0.32,0.32,0.5,0.1723,0.0026,12.9249,80.1,12.9524,80.1432,Tambaram,Chrompet
15,7,0,Grand Southern Trunk,primary,0,3000,50.0,216.0,2800,2380,3600.0,0.778,227.86,heavy,11.860000000000014,0.9479504959185465,5,0.1481,0.5,0.064,0.32,0.32,0.5,0.1723,0.0026,12.9524,80.1432,12.9249,80.1,Chrompet,Tambaram
8,10,0,Chennai Bypass,motorway,1,8750,65.0,450.0,3800,3230,5400.0,0.704,466.55,heavy,16.55000000000001,1.0,7,1.0,1.0,1.0,0.72,0.72,1.0,0.1034,0.5986,13.0332,80.1581,13.0694,80.1947,Porur,Koyambedu
9,4,0,GST Rd,primary,0,3500,50.0,252.0,3500,2975,3600.0,0.972,285.77,heavy,33.76999999999998,0.8818280435315115,5,0.2222,0.5,0.208,0.6,0.6,0.5,0.3529,0.1472,13.0067,80.2206,12.9785,80.2209,Guindy,Velachery
