u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,2,0,Avinashi Rd,motorway,1,3000,60.0,180.0,2500,2125,5400.0,0.463,181.24,moderate,1.240000000000009,0.9931582432134186,7,0.1791,1.0,0.0625,0.75,0.75,1.0,0.0,0.0074,11.0017,76.9674,11.0176,76.9674,Coimbatore Jn.,Gandhipuram
0,6,0,Trichy Rd,primary,0,2500,45.0,200.0,2200,1870,3600.0,0.611,204.18,moderate,4.180000000000007,0.9795278675678323,5,0.1294,0.5,0.0972,0.5,0.5,0.5,0.195,0.0468,11.0017,76.9674,10.9997,76.9745,Coimbatore Jn.,Ukkadam
6,0,0,Trichy Rd,primary,0,2500,45.0,200.0,2200,1870,3600.0,0.611,204.18,moderate,4.180000000000007,0.9795278675678323,5,0.1294,0.5,0.0972,0.5,0.5,0.5,0.195,0.0468,10.9997,76.9745,11.0017,76.9674,Ukkadam,Coimbatore Jn.
1,2,0,DB Rd,secondary,0,1500,35.0,154.29,1800,1530,1800.0,1.0,177.43,gridlock,23.140000000000015,0.8695582161174226,4,0.0299,0.1667,0.0179,0.1667,0.1667,0.0,0.7075,0.0009,11.0022,76.9576,11.0176,76.9674,RS Puram,Gandhipuram
2,1,0,DB Rd,secondary,0,1500,35.0,154.29,1800,1530,1800.0,1.0,177.43,gridlock,23.140000000000015,0.8695582161174226,4,0.0299,0.1667,0.0179,0.1667,0.1667,0.0,0.7075,0.0009,11.0176,76.9674,11.0022,76.9576,Gandhipuram,RS Puram
2,4,0,Nehru St,secondary,0,2000,35.0,205.71,1600,1360,1800.0,0.889,224.98,heavy,19.269999999999982,0.9143669913516123,4,0.0796,0.1667,0.1071,0.0,0.0,0.0,0.5613,0.0825,11.0176,76.9674,11.0308,76.9617,Gandhipuram,Saibaba Colony
4,2,0,Nehru St,secondary,0,2000,35.0,205.71,1600,1360,1800.0,0.889,224.98,heavy,19.269999999999982,0.9143669913516123,4,0.0796,0.1667,0.1071,0.0,0.0,0.0,0.5613,0.0825,11.0308,76.9617,11.0176,76.9674,Saibaba Colony,Gandhipuram
3,8,0,Avinashi Main,motorway,1,5000,60.0,300.0,2500,2125,5400.0,0.463,302.07,moderate,2.069999999999993,0.993147283742179,7,0.3781,1.0,0.2708,0.75,0.75,1.0,0.0,0.2148,11.0265,77.0174,11.0366,76.9994,Peelamedu,Avinashi Rd
4,7,0,Mettupalayam Rd,primary,0,8000,60.0,480.0,2200,1870,3600.0,0.611,490.04,moderate,10.04000000000002,0.9795118765815036,5,0.6766,1.0,0.5833,0.5,0.5,0.5,0.195,0.5375,11.0308,76.9617,11.0847,76.9458,Saibaba Colony,Mettupalayam Rd
7,4,0,Mettupalayam Rd,primary,0,8000,60.0,480.0,2200,1870,3600.0,0.611,490.04,moderate,10.04000000000002,0.9795118765815036,5,0.6766,1.0,0.5833,0.5,0.5,0.5,0.195,0.5375,11.0847,76.9458,11.0308,76.9617,Mettupalayam Rd,Saibaba Colony
5,3,0,Singanallur Rd,secondary,0,3000,40.0,270.0,1800,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.1791,0.3333,0.2188,0.1667,0.1667,0.0,0.7075,0.2293,11.0013,77.0218,11.0265,77.0174,Singanallur,Peelamedu
3,5,0,Singanallur Rd,secondary,0,3000,40.0,270.0,1800,1530,1800.0,1.0,310.5,gridlock,40.5,0.8695652173913044,4,0.1791,0.3333,0.2188,0.1667,0.1667,0.0,0.7075,0.2293,11.0265,77.0174,11.0013,77.0218,Peelamedu,Singanallur
6,9,0,Pollachi Rd,primary,0,11250,60.0,720.0,2800,2380,3600.0,0.778,759.52,heavy,39.51999999999998,0.8887191910680431,5,1.0,1.0,1.0,1.0,1.0,0.5,0.415,1.0,10.9997,76.9745,10.95,76.92,Ukkadam,Pollachi Rd
9,6,0,Pollachi Rd,primary,0,11250,60.0,720.0,2800,2380,3600.0,0.778,759.52,heavy,39.51999999999998,0.8887191910680431,5,1.0,1.0,1.0,1.0,1.0,0.5,0.415,1.0,10.95,76.92,10.9997,76.9745,Pollachi Rd,Ukkadam
7,10,0,Mettupalayam Bypass,secondary,0,6000,50.0,432.0,1800,1530,1800.0,1.0,496.8,gridlock,64.80000000000001,0.8695652173913043,4,0.4776,0.6667,0.5,0.1667,0.1667,0.0,0.7075,0.5491,11.0847,76.9458,11.065,76.885,Mettupalayam Rd,Vedapatti
10,7,0,Mettupalayam Bypass,secondary,0,6000,50.0,432.0,1800,1530,1800.0,1.0,496.8,gridlock,64.80000000000001,0.8695652173913043,4,0.4776,0.6667,0.5,0.1667,0.1667,0.0,0.7075,0.5491,11.065,76.885,11.0847,76.9458,Vedapatti,Mettupalayam Rd
8,3,0,Peelamedu Rd,secondary,0,3000,45.0,240.0,2000,1700,1800.0,1.111,294.87,gridlock,54.870000000000005,0.8139179977617256,4,0.1791,0.5,0.1667,0.3333,0.3333,0.0,0.8538,0.2025,11.0366,76.9994,11.0265,77.0174,Avinashi Rd,Peelamedu
3,8,0,Peelamedu Rd,secondary,0,3000,45.0,240.0,2000,1700,1800.0,1.111,294.87,gridlock,54.870000000000005,0.8139179977617256,4,0.1791,0.5,0.1667,0.3333,0.3333,0.0,0.8538,0.2025,11.0265,77.0174,11.0366,76.9994,Peelamedu,Avinashi Rd
9,11,0,Palladam Rd,secondary,0,8000,55.0,523.64,2200,1870,1800.0,1.222,698.91,gridlock,175.26999999999998,0.7492185884253533,4,0.6766,0.8333,0.6591,0.5,0.5,0.0,1.0,0.896,10.95,76.92,10.97,77.01,Pollachi Rd,Palladam Rd
11,9,0,Palladam Rd,secondary,0,8000,55.0,523.64,2200,1870,1800.0,1.222,698.91,gridlock,175.26999999999998,0.7492185884253533,4,0.6766,0.8333,0.6591,0.5,0.5,0.0,1.0,0.896,10.97,77.01,10.95,76.92,Palladam Rd,Pollachi Rd
10,4,0,Sathy Rd,secondary,0,5000,50.0,360.0,1800,1530,1800.0,1.0,414.0,gridlock,54.0,0.8695652173913043,4,0.3781,0.6667,0.375,0.1667,0.1667,0.0,0.7075,0.4069,11.065,76.885,11.0308,76.9617,Vedapatti,Saibaba Colony
4,10,0,Sathy Rd,secondary,0,5000,50.0,360.0,1800,1530,1800.0,1.0,414.0,gridlock,54.0,0.8695652173913043,4,0.3781,0.6667,0.375,0.1667,0.1667,0.0,0.7075,0.4069,11.0308,76.9617,11.065,76.885,Saibaba Colony,Vedapatti
0,1,0,Cross Cut Rd,secondary,0,1200,30.0,144.0,2000,1700,1800.0,1.111,176.92,gridlock,32.91999999999999,0.8139271987338912,4,0.0,0.0,0.0,0.3333,0.3333,0.0,0.8538,0.0,11.0017,76.9674,11.0022,76.9576,Coimbatore Jn.,RS Puram
1,0,0,Cross Cut Rd,secondary,0,1200,30.0,144.0,2000,1700,1800.0,1.111,176.92,gridlock,32.91999999999999,0.8139271987338912,4,0.0,0.0,0.0,0.3333,0.3333,0.0,0.8538,0.0,11.0022,76.9576,11.0017,76.9674,RS Puram,Coimbatore Jn.
2,3,0,Race Course Rd,secondary,0,3000,40.0,270.0,2200,1870,1800.0,1.222,360.38,gridlock,90.38,0.7492091681003386,4,0.1791,0.3333,0.2188,0.5,0.5,0.0,1.0,0.3149,11.0176,76.9674,11.0265,77.0174,Gandhipuram,Peelamedu
3,2,0,Race Course Rd,secondary,0,3000,40.0,270.0,2200,1870,1800.0,1.222,360.38,gridlock,90.38,0.7492091681003386,4,0.1791,0.3333,0.2188,0.5,0.5,0.0,1.0,0.3149,11.0265,77.0174,11.0176,76.9674,Peelamedu,Gandhipuram
