u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,15,0,Abids Rd,primary,0,2500,40.0,225.0,3000,2550,3600.0,0.833,241.28,heavy,16.28,0.9325265251989391,5,0.1176,0.2857,0.15,0.7059,0.7059,0.5,0.3028,0.173,17.3616,78.4747,17.3838,78.4717,Charminar,Nampally
15,0,0,Abids Rd,primary,0,2500,40.0,225.0,3000,2550,3600.0,0.833,241.28,heavy,16.28,0.9325265251989391,5,0.1176,0.2857,0.15,0.7059,0.7059,0.5,0.3028,0.173,17.3838,78.4717,17.3616,78.4747,Nampally,Charminar
0,14,0,Charminar-Falaknuma,secondary,0,3000,35.0,308.57,2500,2125,1800.0,1.389,480.8,gridlock,172.23000000000002,0.6417874970287616,4,0.2353,0.1429,0.4286,0.4118,0.4118,0.0,0.839,0.8713,17.3616,78.4747,17.349,78.484,Charminar,Old City
14,0,0,Charminar-Falaknuma,secondary,0,3000,35.0,308.57,2500,2125,1800.0,1.389,480.8,gridlock,172.23000000000002,0.6417874970287616,4,0.2353,0.1429,0.4286,0.4118,0.4118,0.0,0.839,0.8713,17.349,78.484,17.3616,78.4747,Old City,Charminar
1,9,0,Hitech City Main,motorway,1,3000,60.0,180.0,3000,2550,5400.0,0.556,182.57,moderate,2.569999999999993,0.9859232075368354,7,0.2353,0.8571,0.0,0.7059,0.7059,1.0,0.0357,0.0018,17.4435,78.3772,17.4485,78.3887,Hitech City,Madhapur
1,4,0,Outer Ring Rd W,motorway,1,6000,65.0,270.0,3500,2975,5400.0,0.648,277.15,moderate,7.149999999999977,1.0,7,0.9412,1.0,0.3,1.0,1.0,1.0,0.1244,0.2776,17.4435,78.3772,17.4401,78.3489,Hitech City,Gachibowli
2,7,0,Secunderabad Rd,primary,0,6250,60.0,480.0,3200,2720,3600.0,0.889,524.95,heavy,44.950000000000045,0.7143537479759977,5,1.0,0.8571,1.0,0.8235,0.8235,0.5,0.3568,1.0,17.4401,78.4983,17.4849,78.4138,Secunderabad Jn.,Kukatpally
7,2,0,Secunderabad Rd,primary,0,6250,60.0,480.0,3200,2720,3600.0,0.889,524.95,heavy,44.950000000000045,0.7143537479759977,5,1.0,0.8571,1.0,0.8235,0.8235,0.5,0.3568,1.0,17.4849,78.4138,17.4401,78.4983,Kukatpally,Secunderabad Jn.
3,6,0,Banjara Hills Rd,secondary,0,3000,40.0,270.0,2800,2380,1800.0,1.556,507.14,gridlock,237.14,0.5323973656189612,4,0.2353,0.2857,0.3,0.5882,0.5882,0.0,1.0,0.9481,17.4156,78.4347,17.3944,78.4351,Banjara Hills,Mehdipatnam
6,3,0,Banjara Hills Rd,secondary,0,3000,40.0,270.0,2800,2380,1800.0,1.556,507.14,gridlock,237.14,0.5323973656189612,4,0.2353,0.2857,0.3,0.5882,0.5882,0.0,1.0,0.9481,17.3944,78.4351,17.4156,78.4347,Mehdipatnam,Banjara Hills
3,9,0,Road No 36,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.4706,0.4286,0.4667,0.4118,0.4118,0.0,0.839,0.9232,17.4156,78.4347,17.4485,78.3887,Banjara Hills,Madhapur
9,3,0,Road No 36,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.4706,0.4286,0.4667,0.4118,0.4118,0.0,0.839,0.9232,17.4485,78.3887,17.4156,78.4347,Madhapur,Banjara Hills
4,11,0,Outer Ring Rd,motorway,1,6250,65.0,360.0,3200,2720,5400.0,0.593,366.66,moderate,6.660000000000025,0.9440731090215626,7,1.0,1.0,0.6,0.8235,0.8235,1.0,0.0714,0.5385,17.4401,78.3489,17.505,78.337,Gachibowli,BHEL
5,8,0,LB Nagar Rd,primary,0,4000,50.0,288.0,2800,2380,3600.0,0.778,303.81,heavy,15.810000000000002,0.9479608966130146,5,0.4706,0.5714,0.36,0.5882,0.5882,0.5,0.2498,0.3553,17.3452,78.5522,17.3688,78.5256,LB Nagar,Dilsukhnagar
8,5,0,LB Nagar Rd,primary,0,4000,50.0,288.0,2800,2380,3600.0,0.778,303.81,heavy,15.810000000000002,0.9479608966130146,5,0.4706,0.5714,0.36,0.5882,0.5882,0.5,0.2498,0.3553,17.3688,78.5256,17.3452,78.5522,Dilsukhnagar,LB Nagar
5,12,0,Uppal Rd,primary,0,3500,50.0,252.0,2500,2125,3600.0,0.694,260.79,moderate,8.79000000000002,0.9662947198895663,5,0.3529,0.5714,0.24,0.4118,0.4118,0.5,0.1688,0.2299,17.3452,78.5522,17.3954,78.5591,LB Nagar,Uppal
12,5,0,Uppal Rd,primary,0,3500,50.0,252.0,2500,2125,3600.0,0.694,260.79,moderate,8.79000000000002,0.9662947198895663,5,0.3529,0.5714,0.24,0.4118,0.4118,0.5,0.1688,0.2299,17.3954,78.5591,17.3452,78.5522,Uppal,LB Nagar
6,15,0,Mehdipatnam Rd,secondary,0,2500,35.0,257.14,2800,2380,1800.0,1.556,482.99,gridlock,225.85000000000002,0.5323978905212472,4,0.1176,0.1429,0.2571,0.5882,0.5882,0.0,1.0,0.8777,17.3944,78.4351,17.3838,78.4717,Mehdipatnam,Nampally
15,6,0,Mehdipatnam Rd,secondary,0,2500,35.0,257.14,2800,2380,1800.0,1.556,482.99,gridlock,225.85000000000002,0.5323978905212472,4,0.1176,0.1429,0.2571,0.5882,0.5882,0.0,1.0,0.8777,17.3838,78.4717,17.3944,78.4351,Nampally,Mehdipatnam
7,10,0,Kukatpally Main,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.4706,0.4286,0.4667,0.4118,0.4118,0.0,0.839,0.9232,17.4849,78.4138,17.46,78.36,Kukatpally,Kondapur
