u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,7,0,Alambagh Rd,primary,0,3500,45.0,280.0,3000,2550,3600.0,0.833,300.25,heavy,20.25,0.93255620316403,5,0.1875,0.2222,0.2134,0.7619,0.5,0.5,0.2492,0.1439,26.8467,80.9462,26.8237,80.9181,Lucknow Charbagh,Alambagh
7,0,0,Alambagh Rd,primary,0,3500,45.0,280.0,3000,2550,3600.0,0.833,300.25,heavy,20.25,0.93255620316403,5,0.1875,0.2222,0.2134,0.7619,0.5,0.5,0.2492,0.1439,26.8237,80.9181,26.8467,80.9462,Alambagh,Lucknow Charbagh
0,1,0,Aminabad Rd,primary,0,2000,35.0,205.71,3200,2720,3600.0,0.889,224.98,heavy,19.269999999999982,0.9143669913516123,5,0.0,0.0,0.0,0.9524,0.625,0.5,0.3074,0.0,26.8467,80.9462,26.8503,80.9402,Lucknow Charbagh,Hazratganj
1,0,0,Aminabad Rd,primary,0,2000,35.0,205.71,3200,2720,3600.0,0.889,224.98,heavy,19.269999999999982,0.9143669913516123,5,0.0,0.0,0.0,0.9524,0.625,0.5,0.3074,0.0,26.8503,80.9402,26.8467,80.9462,Hazratganj,Lucknow Charbagh
1,3,0,Kaiserbagh Rd,secondary,0,3000,40.0,270.0,2800,2380,1800.0,1.556,507.14,gridlock,237.14,0.5323973656189612,4,0.125,0.1111,0.1847,0.5714,0.375,0.0,1.0,0.5396,26.8503,80.9402,26.8846,80.9361,Hazratganj,Aliganj
3,1,0,Kaiserbagh Rd,secondary,0,3000,40.0,270.0,2800,2380,1800.0,1.556,507.14,gridlock,237.14,0.5323973656189612,4,0.125,0.1111,0.1847,0.5714,0.375,0.0,1.0,0.5396,26.8846,80.9361,26.8503,80.9402,Aliganj,Hazratganj
2,4,0,Gomti Nagar Main,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.25,0.2222,0.3283,0.2857,0.1875,0.0,0.8266,0.5233,26.8467,81.0001,26.8851,80.9963,Gomti Nagar,Indira Nagar
4,2,0,Gomti Nagar Main,secondary,0,4000,45.0,320.0,2500,2125,1800.0,1.389,498.61,gridlock,178.61,0.6417841599647017,4,0.25,0.2222,0.3283,0.2857,0.1875,0.0,0.8266,0.5233,26.8851,80.9963,26.8467,81.0001,Indira Nagar,Gomti Nagar
2,5,0,Chinhat Rd,secondary,0,6000,50.0,432.0,2200,1870,1800.0,1.222,576.6,gridlock,144.60000000000002,0.7492195629552549,4,0.5,0.3333,0.65,0.0,0.0,0.0,0.6532,0.6724,26.8467,81.0001,26.8686,81.0547,Gomti Nagar,Chinhat
5,2,0,Chinhat Rd,secondary,0,6000,50.0,432.0,2200,1870,1800.0,1.222,576.6,gridlock,144.60000000000002,0.7492195629552549,4,0.5,0.3333,0.65,0.0,0.0,0.0,0.6532,0.6724,26.8686,81.0547,26.8467,81.0001,Chinhat,Gomti Nagar
3,10,0,Sitapur Rd,primary,0,10000,65.0,553.85,2800,2380,3600.0,0.778,584.25,heavy,30.399999999999977,0.9479608966130149,5,1.0,0.6667,1.0,0.5714,0.375,0.5,0.1921,0.687,26.8846,80.9361,26.925,80.93,Aliganj,Sitapur Rd
10,3,0,Sitapur Rd,primary,0,10000,65.0,553.85,2800,2380,3600.0,0.778,584.25,heavy,30.399999999999977,0.9479608966130149,5,1.0,0.6667,1.0,0.5714,0.375,0.5,0.1921,0.687,26.925,80.93,26.8846,80.9361,Sitapur Rd,Aliganj
4,5,0,Indira Nagar Rd,secondary,0,5000,45.0,400.0,2200,1870,1800.0,1.222,533.89,gridlock,133.89,0.7492180037086291,4,0.375,0.2222,0.5581,0.0,0.0,0.0,0.6532,0.5907,26.8851,80.9963,26.8686,81.0547,Indira Nagar,Chinhat
5,4,0,Indira Nagar Rd,secondary,0,5000,45.0,400.0,2200,1870,1800.0,1.222,533.89,gridlock,133.89,0.7492180037086291,4,0.375,0.2222,0.5581,0.0,0.0,0.0,0.6532,0.5907,26.8686,81.0547,26.8851,80.9963,Chinhat,Indira Nagar
5,9,0,Faizabad Rd,primary,0,6000,55.0,392.73,2500,2125,3600.0,0.694,406.43,moderate,13.699999999999989,0.9662851480630681,5,0.5,0.4444,0.5372,0.2857,0.1875,0.5,0.1049,0.347,26.8686,81.0547,26.885,81.02,Chinhat,Faizabad Rd
9,5,0,Faizabad Rd,primary,0,6000,55.0,392.73,2500,2125,3600.0,0.694,406.43,moderate,13.699999999999989,0.9662851480630681,5,0.5,0.4444,0.5372,0.2857,0.1875,0.5,0.1049,0.347,26.885,81.02,26.8686,81.0547,Faizabad Rd,Chinhat
6,8,0,Kanpur Rd,motorway,1,8000,70.0,411.43,3200,2720,5400.0,0.593,419.04,moderate,7.610000000000014,0.9818360333824251,7,0.75,0.7778,0.5909,0.9524,0.625,1.0,0.0,0.3711,26.7942,80.9529,26.8,80.92,Telibagh,Kanpur Rd
7,6,0,Ring Rd S,primary,0,4000,50.0,288.0,2500,2125,3600.0,0.694,298.05,moderate,10.050000000000011,0.9662808253648717,5,0.25,0.3333,0.2364,0.2857,0.1875,0.5,0.1049,0.1397,26.8237,80.9181,26.7942,80.9529,Alambagh,Telibagh
6,7,0,Ring Rd S,primary,0,4000,50.0,288.0,2500,2125,3600.0,0.694,298.05,moderate,10.050000000000011,0.9662808253648717,5,0.25,0.3333,0.2364,0.2857,0.1875,0.5,0.1049,0.1397,26.7942,80.9529,26.8237,80.9181,Telibagh,Alambagh
