u,v,key,name,highway,oneway,length,speed_kph,travel_time,traffic_volume,PCU,capacity,vc_ratio,congested_time,congestion_class,delay_sec,speed_efficiency,highway_code,length_norm,speed_kph_norm,travel_time_norm,traffic_volume_norm,PCU_norm,capacity_norm,vc_ratio_norm,congested_time_norm,u_lat,u_lon,v_lat,v_lon,u_name,v_name
0,3,0,Howrah Bridge,primary,0,1800,25.0,259.2,5000,4250,3600.0,1.389,403.88,gridlock,144.68,0.6417747845894821,5,0.0462,0.0,0.3422,1.0,1.0,0.5,0.6001,0.3715,22.585,88.3425,22.5624,88.3505,Howrah Station,Esplanade
3,0,0,Howrah Bridge,primary,0,1800,25.0,259.2,5000,4250,3600.0,1.389,403.88,gridlock,144.68,0.6417747845894821,5,0.0462,0.0,0.3422,1.0,1.0,0.5,0.6001,0.3715,22.5624,88.3505,22.585,88.3425,Esplanade,Howrah Station
0,8,0,Grand Trunk Rd,primary,0,5000,50.0,360.0,4500,3825,3600.0,1.25,491.84,gridlock,131.83999999999997,0.7319453480806767,5,0.5385,0.5556,0.7778,0.8,0.8,0.5,0.5,0.6033,22.585,88.3425,22.604,88.3289,Howrah Station,Bally Bridge
8,0,0,Grand Trunk Rd,primary,0,5000,50.0,360.0,4500,3825,3600.0,1.25,491.84,gridlock,131.83999999999997,0.7319453480806767,5,0.5385,0.5556,0.7778,0.8,0.8,0.5,0.5,0.6033,22.604,88.3289,22.585,88.3425,Bally Bridge,Howrah Station
1,13,0,APC Rd,primary,0,3000,40.0,270.0,3800,3230,3600.0,1.056,320.28,gridlock,50.27999999999997,0.8430123641813413,5,0.2308,0.3333,0.3889,0.52,0.52,0.5,0.3602,0.1512,22.5651,88.3702,22.5878,88.3866,Sealdah,Ultadanga
13,1,0,APC Rd,primary,0,3000,40.0,270.0,3800,3230,3600.0,1.056,320.28,gridlock,50.27999999999997,0.8430123641813413,5,0.2308,0.3333,0.3889,0.52,0.52,0.5,0.3602,0.1512,22.5878,88.3866,22.5651,88.3702,Ultadanga,Sealdah
2,3,0,Park St,secondary,0,1500,30.0,180.0,3500,2975,1800.0,1.944,565.96,gridlock,385.96000000000004,0.31804367799844513,4,0.0,0.1111,0.0,0.4,0.4,0.0,1.0,0.7985,22.553,88.3515,22.5624,88.3505,Park Street,Esplanade
3,2,0,Park St,secondary,0,1500,30.0,180.0,3500,2975,1800.0,1.944,565.96,gridlock,385.96000000000004,0.31804367799844513,4,0.0,0.1111,0.0,0.4,0.4,0.0,1.0,0.7985,22.5624,88.3505,22.553,88.3515,Esplanade,Park Street
2,12,0,Lansdowne Rd,secondary,0,2500,35.0,257.14,3200,2720,1800.0,1.778,642.42,gridlock,385.28,0.40027218508585843,4,0.1538,0.2222,0.3333,0.28,0.28,0.0,0.8804,1.0,22.553,88.3515,22.5261,88.3423,Park Street,Kalighat
12,2,0,Lansdowne Rd,secondary,0,2500,35.0,257.14,3200,2720,1800.0,1.778,642.42,gridlock,385.28,0.40027218508585843,4,0.1538,0.2222,0.3333,0.28,0.28,0.0,0.8804,1.0,22.5261,88.3423,22.553,88.3515,Kalighat,Park Street
3,1,0,MG Rd,primary,0,2000,35.0,205.71,4200,3570,3600.0,1.167,262.88,gridlock,57.16999999999999,0.7825406486392488,5,0.0769,0.2222,0.1111,0.68,0.68,0.5,0.4402,0.0,22.5624,88.3505,22.5651,88.3702,Esplanade,Sealdah
1,3,0,MG Rd,primary,0,2000,35.0,205.71,4200,3570,3600.0,1.167,262.88,gridlock,57.16999999999999,0.7825406486392488,5,0.0769,0.2222,0.1111,0.68,0.68,0.5,0.4402,0.0,22.5651,88.3702,22.5624,88.3505,Sealdah,Esplanade
4,10,0,IT Sector Rd,motorway,1,5000,60.0,300.0,3000,2550,5400.0,0.556,304.29,moderate,4.2900000000000205,0.9859016070196194,7,0.5385,0.7778,0.5185,0.2,0.2,1.0,0.0,0.1091,22.5704,88.4318,22.585,88.4645,Salt Lake Sec V,New Town
